MID_WU_C_1_IN_#001	¡Ya es de día!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	¡Ah!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¡Si ya estás despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	¡Pues a desayunar!\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	¿Ni con esas te despiertas?\nSí que tienes el sueño profundo.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Pero hasta aquí hemos llegado.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Se te acabó el cuento. Prepárate.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	¡ARRIBA!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	¡Ya estás despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Ahora, a desayunar.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Te recomiendo sopa de miso.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Y arroz, claro.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	¡Atención!\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	¡Kagetsu en persona ha venido a despertarte!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	¡Buenos días! ¿O debería decir tardes?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	¡Ja!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	¡Parece que tampoco me vendría mal\nque viniesen a despertarme!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Siento llegar tarde.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	¡Me he quedado dormido!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Ya es por la tarde.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	¡Espero que no tuvieras cosas\nimportantes que hacer!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Veo mi futuro...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Vander me echa una regañina.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	¡Será mejor que desaparezca! ¡Hasta otra!\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¿Cuánto piensas dormir, Dragón Divino?\n¡Ya es medio día!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Sabía que eso te despertaría.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	¡Has caído en mi trampa!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	¡El tiempo vuela, Dragón Divino! ¡Deprisa!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	¡Debes comer algo!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	¡No puedes saltarte más comidas!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	¡Es broma! Todavía es por la mañana.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Oh, conozco esa mirada.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Mmm...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	La princesa Ivy suele poner esa cara.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	¡Arriba, amig\x0E\x0A\x00\x08\x02o\x02a mí\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	¡Hola!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	¡Qué madrugad\x0E\x0A\x00\x0E\x04or\x06ora!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	¿Quieres que vayamos a algún lado?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	¿Te cuesta levantarte?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Tengo más preguntas que hacerte.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	En fin...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Puede esperar.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Ah.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Veo que sigues durmiendo.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Descansa un poco.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Yo me aseguraré de que no te molesten.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	¡Es bueno ir pronto a la cama y madrugar!\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	¿Que quién soy? ¡Kagetsu de Elusia!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	He logrado despertarte.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	¡Bien! Tenemos mucho de lo que hablar.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Parece que te has acostumbrado a mi voz.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	¿Dragón Divino?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	No te has muerto, ¿verdad?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Uf... ¡Has despertado!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	De lo contrario...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	¡me habría preocupado!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	¡Ya estoy aquí!\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	Como muestra de nuestra amistad,\nvoy a despertarte.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	¡Empieza una nueva jornada!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Excelente.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Hoy va a ser un gran día.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Dijiste que los amigos se ayudan mutuamente\nen los peores momentos...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Esas palabras me han cambiado.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Gracias por tu sabiduría, Dragón Divino.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¿L-lo has oído todo?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	No importa. Lo decía de corazón.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	¡Y también pienso ayudarte\nen los momentos más duros!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	¡Mi querid\x0E\x0A\x00\x08\x02o\x02a compañe\x0E\x0A\x00\x0C\x04ro\x04ra!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Me encanta llamarte así.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¿Lo he dicho a voces? Lo siento.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Me alegra mucho verte.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Permite que corrija mi error.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	Te saludaré de un modo más suave.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	Buenos días.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Veo que mi voz ya no te despierta...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Te has acostumbrado a mí.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Claro, es normal entre compañeros.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Pero me hace muy feliz.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Este amor quizá sea inesperado...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Pero, cada vez que veo el Anillo del Pacto,\nme siento lleno de dicha.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Te amo, Dragón Divino.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Mi compañer\x0E\x0A\x00\x08\x02o\x02a ya ha despertado.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Empecemos el día con buen pie.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Hoy, como todos los días...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	me entrego a ti en cuerpo y alma.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	¡Ya estoy aquí!\nNo quería esperar más.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	¿Puedo entrar?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	¿Ya se ha despertado mi compañer\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	¡Así me gusta!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Quisiera abrazarte y no soltarte nunca.\nAunque supongo que no debería...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	Ya llegará ese momento.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Duerme como un tronco...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Cuánto quisiera que no tuvieses que combatir.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Me gustaría evitarte el dolor.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Pero, conociendo tu bondad y tu altruismo,\nsé que jamás lo permitirías.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	He de permitir cualquier cosa\nque te ayude a hacerte más fuerte...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Por mucho que me disguste.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	¡Buenos días!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	¿Todo listo para la batalla de hoy?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Tengo un secreto.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	He visto el futuro...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	y vivimos juntos y muy felices.\x0E\x04\x00\x00
