MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nTu cabello refulge como el fuego.\nEs como el faro que nos guía en la batalla.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04ロイ\nGracias... El color es herencia de mi padre.\nReconozco que me siento orgulloso de él.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Has vaciado el salero entero, Nel? Dudo\nque la comida necesitase tanto condimento...\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nLamento profundamente que no sepas apreciar\nmi talento culinario.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nTe enfrentas al peligro sin dudarlo un instante...\nMe pregunto si acaso conoces el miedo.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04ロイ\nPor supuesto que sí. El valor consiste solo\nen decidir qué importa por encima de todo.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04ロイ\nY, para mí, luchar junto a mis amigos es siempre\nprioritario. Los protegeré a cualquier precio.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nTe entiendo... y espero ser digna de que\nme consideres parte de tus amistades.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nAunque con mi fuerza basta y sobra para ganar\ncualquier batalla... tu ayuda no está de más.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04ロイ\nMe alegra oírlo. Espero resultarte útil\nen lo sucesivo.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nSiento curiosidad... ¿Cómo era tu padre?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04ロイ\nUna persona excepcional. A su lado, soy muy\npoca cosa. Espero igualarlo algún día.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nPensaba que mi poder ya era de primer nivel,\npero sigo siendo débil... ¿Es natural ansiar más?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x06\x04ロイ\nNo creo que desear el poder sea algo bueno\nni malo por sí solo, necesariamente.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04ロイ\nYo tuve que obtenerlo para acabar con el caos.\nLo importante es saber cómo utilizarlo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNo tengo intención de apartarme de mi camino.\nPermaneceré fiel a mí mismo, como tú.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Qué ocurre, Roy? No dejas de mirarme.\nSi hay algún problema, puedes contármelo...\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x06\x04ロイ\nEres una dragona maga, ¿verdad? En mi mundo\ntambién hay, pero ninguna como tú...\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nMe cuentan que no te juntas con nadie\npara comer. ¿Qué te sucede, Zelestia?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNada, solo que estoy muy ocupada. Pero seré\nmás sociable, sí. ¡Gracias por preocuparte, Roy!\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMis amigos son como mi familia. Me aterra\nla sola idea de perder a uno de ellos...\x0E\x04\x00\x00
