MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¡Anda, pero si es el bueno de Alfred!\n¡Qué oportuna coincidencia!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBuenas, Yunaka. ¿Te estás integrando bien?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\n¡Totalmente! Todo el mundo\nes un pedazo de pan.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nDe hecho, casi diría que me han acogido\ncon excesiva cordialidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nNadie me conoce. Podría ser cualquier bellaca.\nY, en tal caso, ¿quién lo podría sospechar?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nNadie se ha preocupado en indagar sobre mí,\nlo cual me antoja tan extraño como grato.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Acaso sugieres que me meta en tus asuntos?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nTan solo digo que me parecería lo más lógico.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, la verdad es que me interesa\nconocerte mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAsí que de acuerdo. A ver si sacamos algún rato\npara charlar.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n¿Y charlando pretendéis recabar información?\n¿Tan indolente vais a ser conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nHaced el favor de reflexionar.\n¡Podría ser una espía enemiga!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo creo. Me fío de ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\n¡Voto a tal! ¿Y en qué se fundamenta\nesa inmerecida confianza?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\n¿Jamás os han traicionado? ¿Ni estafado?\n¿Ni engatusado? ¿Ni apuñalado por la espalda?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEso mismo me preguntan muchas veces.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nQue se lo preguntan muchas veces, dice...\nEste tipo está en la parra.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nNo os entiendo, Alfred, si bien a caballo\nregalado tampoco se le mira el diente.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nOs agradezco que confiéis en mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo tienes por qué, Yunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, ¿de dónde eres?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\n¡Pero bueno! Caramba, lanzando preguntas\ncomo saetas disparadas por sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nCon semejante emboscada lo tenéis\ntodo a favor para sonsacarme una respuesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nFantástico. Adelante, pues.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nEsto... Diantres...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nDe un sitio de... Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nYa veo. Gracias por responder.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nSi no os importa, os pediría que mantuvieseis\nmi procedencia en el más absoluto secreto.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nPodría verme en apuros si esa información\ntranscendiese y la gente empezase a atar cabos.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe acuerdo. Soy una tumba.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nGracias. Soy consciente de que os complacería\nque habláramos más, pero no es tan sencillo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nPodríamos meternos en graves problemas\nsi me hicierais las preguntas equivocadas.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh... Eh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nTengo mucho que ocultar.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nY no quiero mentiros; aunque, si me ponéis\nen esa tesitura, tampoco dudaré en hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nEs mejor eso que el daño al que os expondríais\npor saber demasiado sobre mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nLamento que así haya de ser, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nLo entiendo. No te voy a presionar.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi intención no es la de incomodarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nOs lo agradezco de veras, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nAun así, como dije la última vez, me gustaría\nque habláramos más, y eso es lo que haré.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo hay por qué tocar asuntos íntimos; podemos\ncharlar de lo que sea. ¡Nuestras flores favoritas!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\n¡Excelente idea! ¡Preparaos para recibir\nmontones de datos sobre armas!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nMe resulta tan extraño si lo pienso...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿El qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nDe no haber escuchado la voz de Micaiah\nen ese anillo, ni siquiera estaría aquí, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nMe perturba que mi vida sufriera un cambio\ntan drástico por una mera casualidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nQué va. No tiene nada de casual\nque acabaras entre nosotros.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nFue tu forma de ser.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\n¿Qué queréis decir?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nLo que te trajo aquí fue tu voluntad de ver\ncumplido el deseo de Micaiah.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nY, gracias a tu enorme corazón, ahora somos\naliados. ¡Me alegra tenerte en el equipo!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nQué tontería...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nVos sí que tenéis un corazón de oro.\nDe verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nComparada con vos... soy una cobarde.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nNo he revelado mi verdadera identidad\nni mi pasado, y todo por encajar aquí.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nSi supierais la verdad sobre mí, a fe que tendría\nmuchos más motivos para preocuparme.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nNo creo que os limitarais a despreciarme, sino\nque probablemente intentaríais acabar conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo, no lo haría.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\n¿Cómo que no lo haríais?\n¡No podéis hablar con tanta seguridad!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nLo único que he hecho es contaros cosas\nsobre armas. ¡Apenas me conocéis!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nNo podéis aceptarme por lo que soy\nsin saber a qué ateneros. Es injusto.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nPues será injusto, pero no me importa.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nComo tampoco me importa ignorar tu pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nConfío en ti, Yunaka. Siempre lo haré.\x0E\x04\x00\x00
