MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\n¡Yaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\n¡Eso ha sido increíble!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nSí. Si se aprende a golpear con tanta fuerza,\nla victoria sobre el rival está asegurada.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nA decir verdad, me sorprendió sobremanera\nque pidierais que os diese una lección de lucha.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nEntiendo que deseáis darle un buen correctivo\na alguien... ¿Una deuda, quizá?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\n¿Qué? No, nada de eso.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nPensé que podría perder mi arma en batalla...\no sufrir una emboscada por ahí.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nPor eso, creo que es buena idea\naprender a defenderse con las manos.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nEntiendo. Sois muy sagaz, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nMuy bien. En ese caso, os instruiré\nen el viejo arte de la lucha con puños.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nCómo forjar un espíritu indómito...\nRepeler al enemigo solo con fruncir el ceño...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nHay tanto que enseñaros...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nEntiendo. ¡Pues yo estoy \x0E\x0A\x00(\x12dispuesto\x12dispuesta a aprender!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nBien. Yo os enseñaré a dominar la lucha\ncuerpo a cuerpo. ¡Comencemos!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nEn una pelea, el primer golpe es crucial.\nQuien ataca primero suele llevarse la victoria.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nEn consecuencia, ¡debéis ser lo bastante ágil\npara atacar con la celeridad de un ave rapaz!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nAgilidad. Entendido.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nSi lo lográis, aunque el enemigo ataque antes,\nseréis capaz de esquivar sus puños.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nTiene sentido...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\n¿Ocurre algo, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nMe sorprende que una dama noble como tú\nsepa tanto de la lucha cuerpo a cuerpo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nSupongo que no hay razón para ocultar\nla verdad. Quien os habla no es noble.\x0E\x04\x00\x00
