MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Chloé, escucha!\n¡Tengo que contarte algo alucinante!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\n¿Por qué estás tan nervioso?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\n¿Recuerdas la Fuente de la Juventud?\nLa de esos cuentos que tanto te gustan.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nAh, sí, me encantan esas historias.\n¿Por qué la mencionas?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nJe, je, je...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nMira y alucina... ¡He conseguido un mapa\npara llegar a su ubicación secreta!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\n¡Eso es increíble!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クロエ\nSobre todo porque esa fuente no es real.\n¿Por qué iba a salir en un mapa?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\n¡Exacto! Por eso este hallazgo\nes tan impresionante.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nSi no existiese, ¿por qué iban a dibujar\nun mapa que revelara su ubicación exacta?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\n¿Qué me dices, Chloé? ¿Quieres ayudarme\na buscar la Fuente de la Juventud?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nTe sabes esos cuentos de pe a pa.\n¡Si unimos fuerzas, seremos imparables!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nEstá bien. Iré contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nPuede que por el camino podamos contemplar\nhermosos paisajes como los de los cuentos.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\n¿De verdad? ¡Bieeen! ¡Gracias, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\n¡No perdamos más tiempo!\n¡Vamos a buscar esa fuente!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x08\x06クロエ\nEste manantial es encantador...\n¿No te gusta esta agua tan fresquita?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nSí, supongo...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\n¡Pero esto no es la Fuente de la Juventud!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nNo pasa nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nEs un manantial ordinario... Pero eres joven,\nasí que no necesitas la Fuente de la Juventud.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\n¡No se trata de eso! ¡Esta expedición\nera para encontrar una fuente legendaria!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アンバー\nNo me puedo creer que este estúpido mapa\nhaya resultado ser falso. Qué tonto he sido...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クロエ\nNo te pongas triste, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\n¡No puedo creer que estés\ntan contenta, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nAunque esto no sea la Fuente de la Juventud,\nme ha gustado visitar este precioso manantial.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クロエ\nEs tan hermoso que hasta podría haber\ninspirado el cuento de la fuente.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nMmm... Sí que es bonito, cierto...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\n¿Verdad? Además, he traído algo para picar.\nComamos mientras disfrutamos de las vistas.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\n¿Has traído comida? ¡Bien pensado, Chloé!\nTú siempre tan previsora.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nBonitas vistas, buena comida... ¡Esto se está\nconvirtiendo en un pícnic de fin de semana!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\n¡Hurra por los pícnic de fin de semanaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nUn momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nLo planeaste todo desde el principio, ¿no?\n¡Sabías que esta misión iba a fracasar!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\n¿Acaso importa?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nNo, estoy demasiado hambriento\npara enfadarme. ¡Saca la manduca!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クロエ\nToma. Una ración de ojos de pescado secos.\n¡Que aproveche!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アンバー\nArg... ¿Uno de tus platos callejeros?\nDefinitivamente, esto ha sido un fracaso...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Oye! ¡Eh, Chloé!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nHola, Amber. Hoy estás muy animado.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\n¡Así es! Ya verás cuando te lo cuente...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nHe encontrado otro mapa...\n¡Lleva directo a un laberinto secreto!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nEs un legendario laberinto de túneles\nque conectan con la otra punta del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nImpresionante...\n¿De dónde lo has sacado?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nEl amable vendedor me dijo ─no te lo pierdas─\n¡que yo estaba destinado a comprarlo!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nEstaba muy sonriente. Habrá visto enseguida\nmi pasión por descubrir lugares legendarios.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nSeguro que sí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nTranquila, Chloé, esta vez no voy\na invitarte a venir conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\n¿Y eso? ¿No te gustó la comida\nque traje a nuestra última aventura?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\n¡No es eso! La comida no estuvo mal,\nsi ignoramos los globos oculares esos...\x0E\x04\x00\x00
