MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nClaude, tengo entendido que te apodan el As\nde la Estrategia. Me vendría bien algún consejo.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08クロード\n¿Así, de primeras? Veo que te lo tomas en serio.\nPues nada, vamos a dar un paseo y charlamos.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08リュール\nMe cuesta determinar qué arma me iría mejor.\n¿Tú en qué te basaste para decidirlo?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0C\nディミトリ\nBueno, la reliquia de los héroes que mi familia\nposeía era una lanza. Fue una decisión forzosa.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\n¿Qué proyectos tienes para cuando\nfinalice este conflicto?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nMe gustaría emprender un viaje por el mundo.\nY aprovechar para leer y dormir mucho.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nSería estupendo que me acompañaras, aunque\nprimero han de cicatrizar las heridas abiertas.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nMeditaré sobre esa oferta tan amable\nmientras forjamos un futuro de paz.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLady Edelgard, os reitero mi agradecimiento\npor el apoyo que brindáis al Dragón Divino.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nPor favor, dejemos los formalismos a un lado.\n¿Acaso no somos aliados?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nVander, los niños te profesan gran admiración.\nDesearía contar con tu talento en mi ejército.\x0E\x04\x00\x00
