MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nSé que tuviste problemas con otros Dragones\nCaídos. No te veas obligada a charlar conmigo.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06ルキナ\nNo me siento obligada, Nel. Deseo conocerte\ntal y como eres, no solo como Dragón Caído.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNel, te he diseñado una prenda como muestra\nde amistad. La ha cosido Vander, eso sí.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nAnda, tiene un pimiento morrón zurcido\nen la solapa... La verdad es que me has calado.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nLucina, no soy nada hábil con las manualidades,\npero esto es para ti para devolverte el detalle.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルキナ\n¿Una bandera con nuestras caras? ¿Y el lema\n"Amigas para siempre" debajo? ¡Es increíble!\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ルキナ\n¡Muchísimas gracias! Protegeré este obsequio\ncomo un tesoro. ¡Igual que nuestra amistad!\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nSeguiré tu ejemplo, te lo aseguro. Me alegra\nque nuestros gustos sean tan semejantes.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nRafal, ¿son imaginaciones o me estás evitando?\nPensaba que formábamos un equipo...\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nUn Dragón Caído destruyó tu hogar. Yo también\nsoy un Dragón Caído... Es mejor así, créeme.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\n¿No habíamos quedado en evitarnos? ¿Por qué\nte empeñas en hablar con un Dragón Caído?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ルキナ\nLo pasado pasado está. No existe motivo alguno\npara que te odie.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nNo te rindes nunca... Supongo que tu testarudez\nes una virtud, aunque de lo más irritante...\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルキナ\n¿Eso ha sido un cumplido? Vamos progresando.\nQuiero aprender más cosas de ti.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ルキナ\nMi padre tenía mucha confianza con un Dragón\nCaído. Hay amistades que doblegan el destino...\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\n¿Crees necesario que seamos amigos?\nQué ingenua... Pero te daré el gusto, si insistes.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHola, Lucina. Soy Zelestia, una dragona maga.\n¿Qué tipos de dragones había en tu mundo?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ルキナ\nPues el Dragón Divino, el Dragón Caído...\ny otros a los que llamábamos manaketes.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nSé que eres una dragona maga, Zelestia,\npero... ¿puedes transformarte en dragón?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nYa no. Perdí mi piedra dragón cuando\narrasaron mi aldea. No puedo recuperarla.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nAsí que no puedes regresar al mundo del que\nprocedes... Hace eones, me sucedió lo mismo...\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAsí es, pero no lo lamento. Este mundo se ha\nconvertido en mi hogar y quiero protegerlo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ルキナ\nTe comprendo. Y pondré a tu servicio\ntodo mi poder para que logres tu objetivo.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGracias, Lucina. Este mundo está en buenas\nmanos: las nuestras.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nMe pica la curiosidad... ¿Por qué alguien tan\namable como tú se viste de forma tan lúgubre?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nPrefiero atavíos más agradables a la vista,\ncréeme, pero con estos asusto al enemigo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nEstaba pensando... ¿Qué te parecería\nllevar ropa imponente pero con estilo?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\n¡Hala, has hecho un boceto y todo! ¿Wyverns\ny lobos en camisa de volantes? ¡Qué estilazo!\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nGracias por el traje que me diseñaste,\npero no creo que lo use mientras dure la guerra.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ルキナ\nVaya... ¿No te ha gustado? Lo siento;\nsé que tengo un gusto peculiar para la moda.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\n¡No es eso, de verdad! Prefiero no asociarlo\ncon el sufrimiento porque me hace muy feliz.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06ルキナ\nEntonces, acabemos de una vez con el conflicto.\n¡Celebraremos la paz con un desfile de modelos!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nHas combatido fantásticamente, Madeline.\nMe gusta que uses nuestro vínculo para el bien.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nAh... Solo he cumplido con mi deber de\ncaballero. No merezco tal halago, de verdad.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nDicen que tú también perdiste a tus padres\ny amigos. ¿Cómo lo superaste, Lucina?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06ルキナ\nNo lo superé: todavía siento el dolor de aquella\npérdida. Si necesitas hablar, soy toda oídos.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nEntre la gente que he perdido había grandes\ncaballeros. No sé si llegaré jamás a su altura...\x0E\x04\x00\x00
