MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nContar con un dragón resulta alentador.\nJuntos, devolveremos la paz a este mundo.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nEs un honor combatir al lado del Rey Heroico.\nPondré todo mi corazón en el empeño.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nNel, me recuerdas a mi hermana.\nEres tan decidida y amable como ella.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nDesconocía que tuvieras una... Me haría ilusión\nque me considerases su sustituta.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x06\x04エル\nMarth, me gustaría preguntarte...\n¿Qué es lo que te impulsa a combatir?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06マルス\nAspiro a crear un mundo en el que nadie sufra.\nHacer ese sueño realidad es lo que me motiva.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nMe identifico plenamente con ese ideal.\nSerá un honor ayudarte a alcanzarlo.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06マルス\nGracias por tu apoyo, Nel. Si colaboramos,\nsé que nuestro tesón dará sus frutos.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nTener un aliado con poder dragontino me llena\nde esperanza. Juntos, restauraremos la paz.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nDemostraré que soy digno de tu confianza.\nAl fin y al cabo, es parte de mi penitencia.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nPese a tanta fanfarronería, tu carácter amable\nresulta patente. Incluso en el campo de batalla.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\n¿¡Cómo!? No puedes estar más equivocado...\nPero reconozco que me esfuerzo por cambiar.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nMi hermana me salvó la vida, como a ti la tuya.\nLo arriesgó todo para permitirme escapar.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nAsí que hasta el Rey Heroico necesita ayuda\na veces... ¿Qué le ocurrió a tu hermana?\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06マルス\nLa rescaté. Y juré hacerme más fuerte para que\nnadie tuviera que volver a arriesgarse por mí.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nSeguiré tu ejemplo. Juntos, nos volveremos\nmás poderosos y tus deseos se harán realidad.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHe oído hablar de ti, Marth: el Rey Heroico\nde otro mundo. Es un honor luchar a tu lado.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06マルス\nYo también he escuchado relatos de los Cuatro\nVientos. Gracias por prestarnos su ayuda.\x0E\x04\x00\x00
