MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nUf... Ya he entrenado suficiente por hoy.\nEstoy sudando mucho...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nEstarás agotada tras una sesión tan dura...\nEste mundo no te ha cambiado ni un poco.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	A todo esto, ¿te gusta vivir aquí?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nAhora que voy conociendo a todo el mundo,\nempiezo a ver este lugar como mi nuevo hogar.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	¿Qué hay de ti?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\n¿De mí? No me quejo. Aunque no me esperaba\nhacer tantos nuevos amigos de golpe.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Nunca me he relacionado con gente que no sea\nde los Cuatro Vientos. Pero me acostumbraré.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nSí, aquí está todo muy animado.\nMe recuerda a mi ciudad natal.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nAhora que lo pienso, nunca hablamos\nde nuestro hogar. ¿Cómo era tu familia?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nマデリーン\nYo tuve una infancia feliz. Mis padres eran\ncaballeros, y yo los admiraba enormemente.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Me querían mucho... Por eso me convertí\nen caballero: para que se sintieran orgullosos.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nTe querían, ¿eh? Te envidio un poco.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nCrecer con unos padres que te adoran\ndebe de ser una bendición.\x0E\x04\x02\x00
MID_RELIANCE_C_#015	No todo el mundo crece rodeado de amor,\ny no todo el mundo es capaz de amar.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nマデリーン\nTengo la impresión de que ya\nno estamos hablando de mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nOh, perdona. No pretendía... Quiero decir...\nIgnora lo que he dicho.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Ya hablaremos en otro momento.\nAhora procura descansar, que te hará falta.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nマデリーン\nComo quieras. Hasta luego, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEh, Madeline. ¿Hoy también toca entrenar?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nHola, Gregory.\nPues sí, pero justo iba a hacer una pausa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nSiento lo de la otra vez. Estabas hablándome\nde tus padres y al final la cosa giró sobre mí...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nNo le des más vueltas.\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Simplemente estaba preocupada por ti...\n¿Qué tal si me contaras tu historia?\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Únicamente si te sientes cómodo con ello, claro.\nNo quiero hacerte sentir mal sin saber por qué.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nTe lo agradezco. Te comportas con más\nmadurez que yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nYo no diría tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nBueno, mi pasado no tiene nada de interesante,\npero, si quieres conocerlo...\x0E\x04\x02\x00
