MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\n¡Ah, hola, Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nBuenas tardes, Amber.\n¿Has oído esos ruidos tan extraños? ¿Eras tú?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nClaro. Estaba llamando a mis amigas,\nlas alpacas de mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\n¿Perdón?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMi pueblo es famoso por su rebaño de alpacas.\n¡Se puede decir que me crie rodeado de ellas!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nA veces me entra la nostalgia\ny extraño a mis amigas peluditas...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nCuando me agobia la soledad, vengo aquí,\nmiro al cielo estrellado y las llamo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nAh, conque ese sonido era...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\n¡El gemido de las alpacas!\nLes hablo en su idioma.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\n¿En su idioma?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nSí, ya sé que suena a locura.\nNo pueden oírme desde tan lejos...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\n¡Pero así me sacudo la amargura!\nLlamándolas, siento que están a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nNo creo que sea una locura. Estoy segur\x0E\x0A\x00\x08\x02o\x02a\nde que el mensaje les llega de algún modo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nGracias, Divinidad. ¡Qué amable!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nHola, Amber. ¿Estabas hablando otra vez\ncon las alpacas de tu pueblo?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\n¡Hola, Divinidad! Claro que sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n¿Puedo preguntarte qué les acabas de decir?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nLes he dicho: "¿Qué tal, amigas?".\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\n¿Así es como se dice en... el idioma\nde las alpacas?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nExacto. Si les hubiera preguntado en la granja,\nme habrían contestado de inmediato.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\n¡¿De verdad?! ¡Qué lindas!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\n¡Sí! ¡Son superlindas!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nNunca imaginé que algún día\nlas llamaría desde tan lejos.\x0E\x04\x00\x00
