MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Jaaaa!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\n¡Aaah! Dragón Divino,\n¡cómo brilla cuando suda!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\n¡Jaaaa!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\n¡Eh! ¡Hola! ¡Aquí! ¡Eh!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\n¡Aaah! ¡Su Divinidad me ha mirado!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nGracias, universo, por crear a una persona\ntan fantástica y tan... sudorosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMmm... ¿Framme?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\n¡Oh, lo siento! ¿\x0E\x0A\x00\x0C\x04Lo\x04La estoy desconcentrando?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nBueno, digamos que...\nno me estás ayudando a no distraerme.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\n¡Lo siento! ¡Lo siento!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nVerá, estoy aquí en calidad de copresidenta\ndel Club de Fans del Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\n¿Es que tengo un... club de fans?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\n¡Sí! Y ya que nuestra misión es \x0E\x0A\x000\x16respaldarlo\x16respaldarla...\n¡he venido a ofrecerle algo de motivación extra!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nGracias por el apoyo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nPero ¿podrías intentar no hacerlo\ndesde tan cerca?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\n¡Claro! Me echaré un poco para atrás.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\n¡Alabí... alabá... alabim bombá!\n¡Divinidad, Divinidad y nadie más!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nNo ha servido de mucho...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Jiaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nSerá mejor que descanse un poco\ny beba un poco de agua...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\n¡Aaah! ¡El Dragón Divino tiene estilazo\nhasta para beber agua!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nNota para el club de fans...\nAl Dragón Divino le encanta beber agua.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nFramme, ¿puedo decirte una cosa?\nEs importante.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\n¿Quiere tener una conversación importante\nconmigo? ¿Estoy soñando? ¿Es esto real?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nNo, no estás soñando; y sí, es real.\nMira, siento tener que decirte esto, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\n¿No podrías tomarte con algo más de calma\ntodo esto de animarme?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nAgradezco tu entusiasmo, pero me está\ncostando mucho mantener la concentración.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nCada batalla es más difícil que la anterior.\nNo puedo distraerme mientras entreno.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nSí... Tiene razón. Quería \x0E\x0A\x00$\x10ayudarlo\x10ayudarla,\npero solo soy un estorbo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
