MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nOh, lord Rafal. Qué coincidencia toparme\ncon usted, con lo grande que es el Somniel.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\n¿Ya no me dirige la palabra,\npese a ser su fiel aliado?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nAh, sí, ahora entiendo. Eres uno de esos\nmolestos llorones de los Cuatro Vientos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\n¡Arg! Esa mirada glacial y esa lengua afilada...\nno se comportaba así cuando era lord Nil.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nSi le tienes aprecio a la vida, Gregory,\nno vuelvas a mentar nunca más ese nombre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nグレゴリー\nEntonces es cierto: su gentileza de antaño\nhacia nosotros... era fingida, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nObviamente. ¿Acaso eres tan débil de espíritu\nque te dejas engañar por semejante ardid?\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Oh, Gregory, cuánto te extrañaba.\nTu mera presencia llena mi corazón de gozo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nAy, no tiene por qué ser tan mezquino.\nLas palabras hacen tanto daño como el acero.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nPues dime qué quieres y no me hagas perder\nel tiempo. ¿Qué te trae a mí? ¿Venganza?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\n¿Eh? No, yo no soy así. No creo en la venganza.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	No tengo ningún asunto particular\nque tratar con usted.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nEn tal caso, esfúmate. No me eres de utilidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nEntendido. Tampoco es que tenga ganas\nde que me vuelva a tomar el pelo.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Aunque, si me lo permite, tengo una pregunta...\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Es cruel, sí, pero parece una fachada,\ncomo su anterior gentileza... ¿Quién es?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nラファール\nTu ingenuidad me deja atónito.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\n¡Oh, lord Rafal!\nSin duda hoy es mi día de suerte.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Qué buen tiempo hace, ¿eh? Podría echarme\nla siesta aquí... si no fuera el campo de batalla.\x0E\x04\x00\x00
