MID_PLACE_Filene	Firene
MID_PLACE_Brodia	Brodia
MID_PLACE_Ircion	Elusia
MID_PLACE_Solum	Solm
MID_PLACE_Lithos	Lythos
MID_PLACE_Gradron	Gradlon
MCID_M000_PREFIX	Prólogo
MCID_M000	Los Emblemas
MCID_M000_PLACE	Castillo de Lythos
MCID_M001_PREFIX	Capítulo 1
MCID_M001	El ansiado despertar
MCID_M001_PLACE	Pradera de Lythos
MCID_M002_PREFIX	Capítulo 2
MCID_M002	La reina Lumera
MCID_M002_PLACE	Jardines del castillo de Lythos
MCID_M003_PREFIX	Capítulo 3
MCID_M003	Hostilidades
MCID_M003_PLACE	Cámara de los anillos
MCID_M004_PREFIX	Capítulo 4
MCID_M004	Una tierra floreciente
MCID_M004_PLACE	Molina de Florra
MCID_M005_PREFIX	Capítulo 5
MCID_M005	Liberar el castillo
MCID_M005_PLACE	Castillo de Firene
MCID_M005_OUTLINE	Elusia ha invadido el castillo de\nFirene y el grupo se apresura\na ayudar a la reina Ève.
MCID_M006_PREFIX	Capítulo 6
MCID_M006	El anillo robado
MCID_M006_PLACE	Aldea montañosa
MCID_M006_OUTLINE	Tras liberar el castillo, el grupo\nse dirige al santuario que alberga\nel Anillo de la Dama del Alba.
MCID_M007_PREFIX	Capítulo 7
MCID_M007	El Emblema oscuro
MCID_M007_PLACE	El Gran Puente
MCID_M007_OUTLINE	El grupo intenta cruzar la frontera\npara obtener el anillo que custodia\nel reino de Brodia.
MCID_M008_PREFIX	Capítulo 8
MCID_M008	Reino de guerreros
MCID_M008_PLACE	Castillo de Brodia
MCID_M008_OUTLINE	Tras rechazar el ataque de Elusia,\nel ejército del Dragón Divino llega\na su destino: el castillo de Brodia.
MCID_M009_PREFIX	Capítulo 9
MCID_M009	Choque de fuerzas
MCID_M009_PLACE	Fuerte fronterizo
MCID_M009_OUTLINE	El ejército del Dragón Divino y el\nrey Morion acuden al encuentro de\nHyacinth en la frontera de Elusia.
MCID_M010_PREFIX	Capítulo 10
MCID_M010	El Dragón Caído Sombron
MCID_M010_PLACE	Catedral de Destinea
MCID_M010_OUTLINE	El ejército del Dragón Divino se\napresura a la catedral de Destinea\npara rescatar al rey Morion.
MCID_M011_PREFIX	Capítulo 11
MCID_M011	Retirada
MCID_M011_PLACE	Bosque Umbrío
MCID_M012_PREFIX	Capítulo 12
MCID_M012	Los Centinelas
MCID_M012_PLACE	Desierto de Tullah
MCID_M012_OUTLINE	Tras perder los anillos ante Veyle,\nel grupo se dirige al Reginato\nde Solm para reponerse.
MCID_M013_PREFIX	Capítulo 13
MCID_M013	Los héroes del oasis
MCID_M013_PLACE	Aldea del oasis
MCID_M013_OUTLINE	El ejército del Dragón Divino viaja\na un oasis en busca de Timerra y el\nAnillo del Héroe Resplandeciente.
MCID_M014_PREFIX	Capítulo 14
MCID_M014	La batalla de Solm
MCID_M014_PLACE	Palacio de Solm
MCID_M014_OUTLINE	Al saber del ataque de Hortensia,\nel ejército del Dragón Divino\nregresa al palacio de Solm.
MCID_M015_PREFIX	Capítulo 15
MCID_M015	Baile entre ruinas
MCID_M015_PLACE	Bastión del norte
