MID_WU_C_1_IN_#001	Disculpe.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Se ha despertado rápido.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	Es muy conveniente si nos atacan.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	L\x0E\x0A\x00\x08\x02o\x02a dejaré en paz.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	No me gusta entrar así...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Pero es mi deber.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Divinidad... Divinidad...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Hoy solo estoy yo.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	¿Quizá he sido demasiado formal?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Le pido disculpas.\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	"La caballera se aproximó al altar..."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	"Y el sonido de sus pasos\ndespertó enseguida al Dragón Divino."\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	"En la profundidad de su letargo, la figura\ndel altar parecía congelada en el tiempo".\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	"De súbito, la caballera causó un gran\nestrépito que puso fin a la serenidad..."\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	No, no lo haré.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	"La caballera habló...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	e invitó al Dragón Divino a despertar."\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Buenos días. ¿Cómo se siente hoy?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Qué tranquilidad... Es un buen lugar\npara la paz mental.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Lamento interrumpir el silencio.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Ya casi es la hora. Prepárese para partir.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Tengo un poco de tiempo libre... Meditaré.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Trascender los pensamientos materiales...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Ah, una idea para mi próxima comedia...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Ha despertado.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Entonces me retiraré.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Tengo que anotar esta idea\nantes de que se me olvide...\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	"La caballera oyó cómo\nel Dragón Divino dormía..."\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	La puesta de sol de ayer fue preciosa,\ncomo dijo.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Quizá hoy también tengamos buen tiempo.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Es muy amable, Divinidad...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Antes ha decidido quedarse conmigo.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Algún día, de algún modo, l\x0E\x0A\x00\x08\x02o\x02a compensaré\npor tantos actos de altruismo.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	¿Cómo se encuentra esta mañana?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Se preocupa por sus aliados...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	pero procure cuidarse usted también.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	No puedo creer que me pasara\nalgo tan gracioso de camino aquí.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Divinidad, escuche...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Hace un momento, me resbalé\ncon una cáscara de fruta...\x0E\x04\x00\x00
