MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\n¡Mira dónde estamos! No puede ser...\n¡Es imposible!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurre, Eirika?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0C\nエイリーク\nEs casi exactamente igual... Juraría que es\nel mismo sitio donde todo cambió para siempre.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\n¿Cambió? ¿Cómo?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0C\nエイリーク\nYo formaba parte de la realeza de Renais...\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0C\nエイリーク\nNuestro vecino, el Imperio de Grado,\nhabía sido nuestro aliado durante siglos.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0C\nエイリーク\nUn día, sin mediar aviso,\nGrado nos invadió.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nDebió de ser duro...\ndespués de tanto tiempo siendo aliados.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0C\nエイリーク\nComo príncipes, mi hermano y yo luchamos\njunto a nuestros amigos para proteger Renais.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0C\nエイリーク\nLa batalla final tuvo lugar aquí mismo...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0C\nエイリーク\nSé que solo se parece, pero estando aquí...\nme siento como cuando todo ocurrió.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nNo hace falta que sigas. Es obvio\nque se trata de un recuerdo doloroso.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0C\nエイリーク\nEse día... perdí a un amigo muy querido.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nPero no perdiste la esperanza: seguiste\nluchando a pesar de esa pérdida.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0C\nエイリーク\nDime... ¿Aceptarías enfrentarte a mí aquí?\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0C\nエイリーク\nTodo lo que sentí ese día se arremolina en mi\ncorazón como un cúmulo de tristeza...\x0E\x04\x00\x00
