MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola! Tú eres Lapis, ¿no?\nTe estaba buscando.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nMe han dicho que se te da bien fabricar\ncosas con lo primero que encuentras.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nMmm... Supongo que sí.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\n¡Bien! Podríamos sacar provecho de ello.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nMe llamo Anna. ¡Soy mercadera!\nMe gusta cortar leña y recortar costos.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nAh, qué bien.\nEncantada de conocerte, señorita Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\n¡No tienes que ser tan formal!\nPuedes llamarme lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nEn fin, Lapis, creo que deberíamos\nhacer negocios juntas.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nNo sé si te sigo...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\n¡Es fácil! Tú te encargas de fabricar cosas\ny yo de venderlas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\n¡Vamos a arrasar! Yo seré feliz, tú serás feliz\ny los clientes serán felices. ¡Todos ganamos!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nComo mano de obra, te llevarás tu parte, claro.\n¿Te apuntas? Di que sí, porfaaaa...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nDetente un segundo. ¿Qué clase de cosas\nquieres que fabrique?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nComo vengo de Invernia, ¡estaría bien\nalgo relacionado con el invierno!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nAsí que quieres artículos que recuerden\na tu hogar.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nTú encárgate del I+D y déjame a mí\nla estrategia de ventas y el marketing.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nBueno, de acuerdo...\x0E\x04\x00\x00
