MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¿Quién gana el concurso de mantener\nla mirada? ¿Tú o ese libro de historia?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\n¡Príncipe Diamant!\n¡Lo siento, no lo había visto entrar!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nNo pasa nada, Framme. ¿Por qué estás así?\n¿Te puedo ayudar con algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nHe faltado de nuevo a mis responsabilidades\ncomo sierva y Vander me ha puesto a estudiar.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nHa dicho: "Como no te tomas tus funciones\nen serio, ¡al menos deberías cultivarte un poco!".\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, que Vander te ha dado el libro ese...\nPues diría que no te está gustando mucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\n¡La historia es aburrida! Solo hay guerras,\nconflictos, guerras, comercio, más guerras...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\n¿Por qué tiene que estar todo el mundo siempre\nluchando? ¿No pueden relajarse y vivir en paz?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nLa historia es una sucesión de batallas... desde\nla Primera Guerra del Dragón Caído, al menos.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque no solo hay violencia\ny derramamiento de sangre. Por ejemplo...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nMis ancestros fundaron Brodia gracias\na la protección de Lumera, no por una guerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSe aprenden muchas cosas estudiando historia.\nVander sabe lo que hace.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nSi usted lo dice...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nSigue leyendo. No todo son fechas y datos,\ncréeme; también hay historias sobre gente.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nSupongo que tiene razón. Ni si quiera\nhe avanzado mucho... Es muy árido.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo que no es fácil leer sobre otras guerras\nen pleno conflicto bélico, pero no te preocupes.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nComo príncipe heredero de Brodia,\nte prometo que, cuando reine, traeré la paz.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\n¿Lo dice de veras?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\n¡La promesa del heredero al trono de Brodia\nes garantía suficiente para mí!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nLo digo en serio. Puedes creerlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\n¡Claro! De hecho, ¡ahora me han entrado ganas\nde seguir leyendo este libro!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHola, Framme. ¿Has olvidado tu libro\nde historia? ¿O es que ya lo has acabado?\x0E\x04\x00\x00
