MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nDisculpe, Divinidad. Quería agradecerle\nsu ayuda en la batalla del otro día.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nSi le parece bien, me gustaría darle\nun regalo como muestra de mi gratitud.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\n¿Un regalo? No hace falta, Citrinne.\nCualquier compañero habría hecho lo mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\n¡Oh, Divinidad, qué \x0E\x0A\x00 \x0Emodesto\x0Emodesta es!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nYa sé lo que le voy a regalar.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\n¡Cierto conocido de la familia real de Brodia\nquiere vender su isla privada a precio de saldo!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\n¿Qué le parecería tener una isla privada?\nYo cubriría los gastos, por supuesto.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\n¡¿Una isla entera?! No es...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nNo es suficiente. Lo entiendo. ¿Debería añadir\nmis joyas antiguas? Son de varias generaciones.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\n¡No! Citrinne, no necesito regalos caros.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\n¿De veras? Entonces... ¿qué tipo de regalo\nle agradaría?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nEn fin, si tanto insistes...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nA decir verdad, preferiría un regalo\nque no se puede comprar con dinero.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\n¿Algo que no se puede... comprar con dinero?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nNada de islas privadas ni joyas.\nValoro los regalos sin mirar su precio.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nEs el mejor tipo de regalo que se puede hacer.\n¿Lo entiendes?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nYa veo. Permita que lo piense...\nHasta otra ocasión, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nVolvemos a vernos, Divinidad.\nHe pensado en lo que dijo sobre los regalos.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nLo de que prefiere cosas que no se pueden\ncomprar con dinero...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nPerdone el retraso. ¡Siento que \x0E\x0A\x00\x0C\x04lo\x04la he hecho\nesperar durante días, semanas, meses!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nEn realidad no ha pasado tanto tiempo...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nシトリニカ\nA mí se me ha hecho una eternidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\n¿Y se te ha ocurrido algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\nPues sí. Creo que esta muestra de mi gratitud\nserá de su agrado. ¡Tenga!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nOh. Es...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\n¡Un guijarro!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nSí, un guijarro puro y duro.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\n¡Lo encontré en el margen de un camino\ny no tuve que pagar nada! ¡Es maravilloso!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nNo cuesta nada. Ni tiene valor.\n¡Literalmente me topé con el regalo perfecto!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\n¿Ocurre algo, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nCreo que no me expliqué del todo bien\nla otra vez.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nImagina que encontraste el guijarro\nhace tiempo, lo atesoraste y le tienes cariño.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nSi me regalaras ese guijarro por el que sientes\ntanto apego, para mí sería un regalo fantástico.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\n¿Apego?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nSí, el valor sentimental. El que se mide\ncon el corazón en vez de con el monedero.\x0E\x04\x00\x00
