MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nLucho para proteger el mundo que mi madre\ntanto amaba. Pero necesitaré tu ayuda, Leif.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06リーフ\nSi sirve de ayuda para traer la paz que ansías,\npongo mi espada a tu servicio.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nMe duele saber que nunca podré devolverle\na mi madre todo el amor que ella me dio.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06リーフ\nEl sentimiento es lo que cuenta.\nEsté donde esté, seguro que ella lo sabe.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Crees que hago lo suficiente, Leif?\nTodo el mundo espera tanto de mí...\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06リーフ\nNo es fácil cargar con todo en solitario.\nCéntrate en tus virtudes, no en tus carencias.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\n¿Mis virtudes?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x08\x06リーフ\nLa gente cree en ti. Guíala por el camino\nhacia la paz y te acompañarán.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLeif, ¿podrías ofrecerle consejo\nal Dragón Divino? Parece que lo necesita.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06リーフ\nSi puedo serle de ayuda, lo haré encantado.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLa actitud temeraria del Dragón Divino\nme suscita a veces muchos temores.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x08\x06リーフ\nLo entiendo, pero la vida está llena de peligros.\nNuestro trabajo es minimizarlos.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nMe recuerdas a un viejo amigo\nque murió por culpa de mi insensatez.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x08\x06リーフ\nLo sacrificó todo por cumplir mis deseos\ny ni siquiera pude corresponderle...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNo conozco a esa persona, pero imagino\nque habría sentido orgullo por servirte.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\n¿Servir a alguien que también es tu amigo?\nEs una bendición al alcance de muy pocos.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クラン\nLeif, ¿se te ocurre qué podría hacer\npara que el Dragón Divino confíe más en mí?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06リーフ\nCreo que, en ese asunto, tú deberías\nenseñarme a mí.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nClanne, hoy estás muy ocupado.\n¿Haces todo eso por el Dragón Divino?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06クラン\n¡Sí! Hay que hacer muchas cosas para asegurar\nque pueda descansar como es debido.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHe oído a Framme usar la palabra "venerable".\n¿Significa algo más que ser "apreciado"?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nSí, es mucho más.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nEs como decirle a alguien que lo respetas\npor la enorme sabiduría que atesora.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06リーフ\nEntiendo. Es una palabra muy significativa.\nTrataré de usarla más a menudo.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nPareces muy concentrada.\n¿Qué estás haciendo?\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\n¡Estoy ideando un conjunto en honor\nal Dragón Divino!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\n¿Hoy también entrenas, Framme?\nEs impresionante lo mucho que te esfuerzas.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nDebo estar en forma para rezar a su Divinidad.\nMis plegarias son muy exigentes físicamente.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06フラン\nAhora, esperamos en la esquina a que pase\nel Dragón Divino...\x0E\x04\x00\x00
