MID_H_INFO_WLV_Bullet	Proyectil
MID_MSG_LOST_ITEM	Pierdes: \x0E\x01\x00\x00 \x0E\x01\x01\x00.
MID_DLC_News_Patch2_Title	Ver. 1.3.0
MID_DLC_News_Patch2	Pase de expansión\n\n・ Se han añadido el Emblema Chrom (al que acompaña Robin)\n   y el Emblema Verónica. Se unirán al grupo al completar\n   sus respectivos Anexos Divinos.\n\nContenido gratuito\n\n・ Se ha añadido el pozo antiguo al Somniel. Puedes usarlo\n   para intercambiar artículos que no necesites por otros.\n\n・ Ahora es posible heredar habilidades tanto en el coliseo\n  como en la Sala de Emblemas.
MCID_G003_PREFIX	Anexo Divino
MCID_G003	Heredera solitaria
MCID_G003_PLACE	Santuario de los héroes
MCID_G003_OUTLINE	Se ha avistado un brazalete\nen una isla que flota en el cielo.
MCID_G006_PREFIX	Anexo Divino
MCID_G006	Custodio venerable
MCID_G006_PLACE	Altar del destino
MCID_G006_OUTLINE	Se ha avistado un brazalete\nen lo más profundo de un templo\nsolemne.
MID_RULE_G003_WIN	Derrota al Emblema Verónica.
MID_RULE_G006_WIN	Derrota a los Emblemas Chrom y Robin.
MTID_StartupTile	Losa resorte
MTID_MagicWall	Barrera
MTID_Pond	Estanque
MPID_PhantomWolf	Creación
MPID_H_PhantomWolf	Bestia sin alma creada con artes\narcanas. Carece de voluntad propia\ny obedece órdenes ciegamente.
MPID_Veronica	Verónica
MPID_H_Veronica	Emblema de los Héroes.\nPrincesa que tiene el poder de\ncontrolar héroes de otros mundos.
MPID_Chrom	Chrom
MPID_H_Chrom	Emblema de los Lazos.\nVenerable príncipe que confía en sus\naliados y desea cambiar el destino.
MPID_Reflet	Robin
MPID_H_Reflet	Emblema de los Lazos.\nEstratega que perdió la memoria,\npero no su habilidad para la táctica.
MGID_Veronica	Verónica
MGID_H_Veronica	Emblema de los Héroes.\nPrincesa de enorme poder mágico\nque lucha con grimorios y bastones.
MGID_H_EnemyVeronica	Emblema surgido del Brazalete\nde la Heredera Solitaria.
MGID_Chrom	Chrom
MGID_H_Chrom	Emblema de los Lazos.\nGuerrero que gana batallas con la\nespada y el vínculo con sus aliados.
MGID_H_EnemyChrom	Emblema surgido del Brazalete\ndel Venerable Custodio.
MGID_Reflet	Robin
MGEID_Veronica	Héroes
MGEID_Chrom	Lazos
MJID_MageCannon	Mago artillero
MJID_H_MageCannon	Soldado de infantería acorazado\nque usa un cañón portátil para\nlanzar ataques a distancia.
MJID_PhantomWolf	Lobo espectral
