MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	Mago artillero
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	Los magos artilleros disparan proyectiles\ndesde lejos. ¡Ojo con el alcance de sus ataques!
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	La zona de peligro de los magos artilleros\ntiene un aspecto distinto al habitual.
MID_TUT_HUB_WELL_TITLE	Pozo antiguo
MID_TUT_HUB_WELL_0	Cuando quieras deshacerte de algún objeto,\npuedes arrojarlo al pozo, donde se perderá\npara siempre.
MID_TUT_HUB_WELL_1	Ahora bien, si vuelves tras librar al menos\nuna batalla, verás que los objetos que hayas\ndesechado han sido remplazados por otros.
MID_TUT_HUB_WELL_2	Cuanto más valor tenga el objeto que tires\nal pozo, más probabilidades hay de que\nse sustituya por otro de mayor calidad.
MID_TUT_HUB_WELL_WEAPON_1	El dueño de la armería quiere hablar contigo.
MID_TUT_HUB_WELL_WEAPON_2	Dirígete al pozo y busca el objeto que\nha perdido el dueño de la armería.
MID_TUT_HUB_WELL_WEAPON_3	¡Lo has encontrado! Regresa a la armería\ny devuélveselo al dueño.
MID_TUT_GOD_CHROM_TITLE	Emblema Chrom
MID_TUT_GOD_CHROM_0	Los Emblemas Chrom y Robin colaboran\npara destruir a los rivales con un cóctel\nde espadazos, magia y estrategia.
MID_TUT_GOD_CHROM_1	La habilidad de sincronización Celada impide\ncontratacar a los rivales si la unidad pisa\nun terreno con bonificación de esquivar (Esq).
MID_TUT_GOD_CHROM_2	El arma de fusión Espada trueno inflige daño\ndesde lejos con ataques mágicos.
MID_TUT_GOD_CHROM_3	La habilidad de fusión Otra mitad involucra\na Robin en los ataques en cadena y otorga\nuna bonificación de magia (Mag).
MID_TUT_GOD_CHROM_4	El ataque de fusión Espada gigatrueno es\nun golpe mágico que inflige graves daños\na los enemigos con poca resistencia (Res).
MID_TUT_GOD_VERONICA_TITLE	Emblema Verónica
MID_TUT_GOD_VERONICA_0	El Emblema Verónica domina el uso de diversas\nhabilidades especiales, como la de invocar\naliados de otros mundos.
MID_TUT_GOD_VERONICA_1	La habilidad de sincronización Represalia\nañade a la potencia de ataque un 30 % de los\npuntos de vida (PV) que haya perdido la unidad.
MID_TUT_GOD_VERONICA_2	El arma de fusión Hliðskjálf impide contratacar\nal rival si la unidad inicia el enfrentamiento.
MID_TUT_GOD_VERONICA_3	La habilidad de fusión Contrato permite\natacar o utilizar un objeto a los aliados\nque ya hayan agotado su turno.
MID_TUT_GOD_VERONICA_4	El ataque de fusión Invocar héroe permite\nrecurrir a un aliado de otro mundo para que\nparticipe en la batalla.
MID_TUT_TIPS_Veronica	Emblema Verónica
MID_TUT_TIPS_Chrom	Emblema Chrom
MID_TUT_TIPS_Reflet	Emblema Robin
MID_TIPS_OTHER_36	Si arrojas objetos al pozo antiguo, encontrarás otros distintos tras la batalla siguiente.
MID_TIPS_SKILL_34	Cada vez que la unidad vence a un enemigo de nivel superior,\nel suyo aumenta hasta el final de la batalla.
MID_TIPS_SKILL_35	Por cada turno consecutivo que la unidad espera sin atacar ni utilizar ningún objeto,\nLibro ultramundano sube un nivel.
MID_TIPS_JOB_01	Puedes eliminar la maldición de los lobos espectrales con un bastón de restauración.
MID_TIPS_GOD_35	Princesa imperial de Embla, un territorio ajeno a esta dimensión.\nPosee el poder de manipular portales a otros mundos.
MID_TIPS_GOD_36	Joven heredera capaz de controlar a los héroes de otros mundos\ny servirse de ellos a modo de arma contra las naciones extranjeras.
MID_TIPS_GOD_37	Príncipe del Sacro Reino de Ylisse, una tierra de otro mundo.\nHeredero de la legendaria espada Falchion.
MID_TIPS_GOD_38	Estratega que comparte un vínculo inquebrantable con Chrom.\nSu ingenio cambió el signo de la batalla y guio a sus aliados a la victoria.
