MID_WU_C_1_IN_#001	Duerme con tanta paz...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	¿Necesita descansar más?\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	¿Le ahueco la almohada?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Apenas puedo creer...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	que durmiera así durante mil años.\nParece tan joven e inocente...\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Hace que sienta la necesidad de protegerl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	¿Qué tal se encuentra hoy?\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Avíseme...\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	si necesita cualquier cosa, ¿sí?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Cielos, ¡vaya vista! Parece una imagen\nsalida de un sueño...\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Este lugar resulta completamente cautivador.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Es como si durmiera dentro de un cuadro.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	He venido a despertarl\x0E\x0A\x00\x08\x02o\x02a y ni siquiera le he\ntraído el desayuno. ¡Qué desconsiderada!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Quizá lleve algún dulce encima.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	A ver... Mmm, tendrá que conformarse\ncon esta comida callejera.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Eh, Divinidad, ¿le gustaría un desayuno\ninteresante?\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Hay cabezas de pescado fritas, vísceras y...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	¿No? ¿Seguro?\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	¡Puedo despertar al Dragón Divino!\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	¡Qué emoción!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ah, ya está \x0E\x0A\x00(\x12despierto\x12despierta.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Me hacía ilusión venir a despertarl\x0E\x0A\x00\x08\x02o\x02a,\npero ha sido tan rápido...\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Espere un poco la próxima vez.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Es como en los cuentos.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Un sueño mágico...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	que solo termina...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	cuando llega la persona adecuada y...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	Bueno, que yo sea la persona adecuada\nresulta improbable...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Parece que hoy va a ser otro bonito día.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	¡Así que aprovéchelo al máximo!\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	La solemnidad me envuelve al acercarme a este\nlugar. El Dragón Divino es tan especial...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Ah, ¿me ha oído?\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Siento si l\x0E\x0A\x00\x08\x02o\x02a he incomodado.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Si l\x0E\x0A\x00\x08\x02o\x02a hace sentir mejor, se despierta\nigual que cualquier persona normal.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Me siento mal por lo de antes.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Como no quiso aquel pescado encurtido\nque le ofrecí...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	He decidido traerle otro aperitivo especial.\n¡Espero que este le guste!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Le he traído una oruga glaseada a la miel.\n¡Dulce, crujiente y deliciosa!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	No se asuste, Divinidad. ¡No le va a pasar\nnada! Vamos, pruébela.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	¡Siento llegar tarde! Me he distraído comprando\nestos aperitivos...\x0E\x04\x00\x00
