MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nHermana.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nPareces de mal humor, Rafal. ¿Qué te sucede?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nラファール\n¿Acaso no es obvio? Te has vuelto a colocar\nen primera línea de batalla.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Aún no estás recuperada del todo.\nDeja que asuma yo esa posición.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04エル\nAgradezco tu preocupación, pero no hace\nfalta gracias a la piedra dragón que me diste.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Mi capacidad de transformación es la misma\nque cuando aún poseía mi propia piedra.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nEso es cierto.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nAdemás, como bien sabes, esta nueva piedra\nfue activada por los mismísimos Emblemas.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Se formó a partir de la fuerza que te otorgaba\nla capacidad de transformarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nラファール\nSí. Por suerte, la piedra dragón\nde los Emblemas tenía un tamaño considerable.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Por eso pude dividirla en cuatro fragmentos\ny entregarte a ti la mitad.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Al principio, temía que su poder se viera\nmermado en el proceso, pero no ha sido el caso.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nCiertamente. Por eso mismo, no tienes\nque preocuparte por mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nDejaré de inquietarme... pero prométeme\nque me llamarás si te encuentras en peligro.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nGracias. Ante tal eventualidad, haré como pides.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nラファール\nY yo acudiré en tu ayuda.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x06\x04エル\nRafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nEstoy intranquila por tu herida. Te excediste\nen tu empeño por protegerme en la batalla.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Un paso en falso, y el corte podría haber sido\nmortal. ¿Está sanando como debe, al menos?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nAsí es, gracias. Y soy consciente de que estaría\nmuerto si me hubieran herido más a la derecha.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Me curaron con un bastón, pero, obviamente,\nla cicatriz jamás desaparecerá.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\nTodo ha sido culpa mía.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nUna cicatriz es un precio ínfimo a pagar\npor protegerte. Obraría igual de nuevo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nNo lo hagas, te lo ruego.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	¿Acaso crees que me agradaría ver\ncomo sacrificas tu vida por mí?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\nEn absoluto.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Pero la mera idea de que te lastimen de nuevo\nme resulta insoportable.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nComprendo cómo te sientes.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Pero sigo sin entender por qué siempre... ¡Arg!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nラファール\nVelé por ti durante los mil años posteriores\na tu sacrificio por mí.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Y, en todo ese tiempo, no dejé de reflexionar\nsobre la estupidez de mis actos.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Me atormentaba el temor de que quizá jamás\ndespertarías. Casi pierdo la razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04エル\nRafal...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nラファール\nEscúchame: haré lo que sea para no volver\na perderte.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Protegerte es lo único que me importa.\nLo que me suceda a mí es irrelevante.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Y, si en verdad comprendes mis sentimientos,\nno tengo más que añadir. Ahora he de irme.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04エル\n¡Espera! Escucha...\x0E\x04\x02\x00
MID_RELIANCE_B_#023	¿Qué debo hacer para que lo entiendas?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nVeo que ya han tratado tu herida. Me alegro.\x0E\x04\x00\x00
