MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber, desearía *hablar* contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\n¿Tú? ¿El vasallo de la princesa heredera\nde Elusia quiere hablar conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nSi pretendes sonsacarme información\nde Brodia, ya te puedes ir olvidando.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, no. No se trata de un tema *político*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nEs más bien un asunto *personal*.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOh... ¿Qué quieres de mí? ¿Buscas pelea?\n¡Porque yo no te he hecho nada!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nNecesito *lana* de alpaca.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nConcretamente, la lana que proviene\nde una aldea en *particular*.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMe han informado de que tú\n*conoces* muy bien ese lugar.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nSeguro que sabrás que esa *lana*\nes de una calidad superior al resto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nPues sí, las alpacas de mi aldea\nson más peludas y superblanditas.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nLa necesito, Amber. Debes *conseguirla*\npara mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nPodría enviar una carta a casa para que manden\nun poco, pero ¿para qué la quieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nLa emplearé para crear *tejidos*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nVaya, ¿te gusta tejer, Zelkov?\nJamás lo habría imaginado.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nNo tiene nada de *extraño* que me interese\nun arte tan delicado y elegante.\x0E\x04\x00\x00
