MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nNoto el cariño que sientes por tu hermano\npequeño. Tú y yo nos vamos a llevar muy bien.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nNo esperaba que fueras tan perspicaz...\nPero sí, yo también creo que nos entenderemos.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nYo también tenía una especie de hermano\nmenor. No nos parecíamos, pero lo adoraba.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\n¿No se parecían a pesar de ser hermanos?\n¿Qué ocurrió? ¿Creció mucho repentinamente?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04エル\nHe oído que tu esperanza de vida es muy larga...\nQuizá por eso tu hermano creciera antes que tú.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nSí, es posible. Dejé de considerarlo mi hermano\npequeño cuando vi que ya era más alto que yo.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nComo dragona, entiendo lo que sentirías.\nMe entristece ver envejecer a las hormiguitas.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nEres tan comprensiva... Sabía que nos\nllevaríamos muy bien.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\n¿Por qué te muestras tan protectora conmigo?\n¿Acaso osas tratarme como a un mocoso?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nVaya, perdona, no pretendía molestarte...\nPero sí que me gustaría cuidar de ti.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nMi hermana mayor ya es como una lapa. ¿Es\nmi destino que todas me traten como un niño?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nLo siento. Sé que eres el hermano pequeño de\nNel, y quizá por eso me resultes tan adorable...\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nRafal, tengo la sensación de que, al lado\nde Nel, palidezco como hermana mayor...\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nQué tontería... He oído hablar de lo mucho\nque cuidabas de tu hermano en tu mundo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nEso es cierto, aunque fue él quien me buscó a\nmí. Siempre me he preguntado por qué lo hizo...\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nObvio: porque le importabas. ¿O pensabas que\neso solo les pasa a los hermanos mayores?\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nSe rumora que lees el futuro, Micaiah.\n¡Qué emoción! Estoy deseando conocerte más.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nIgualmente, Zelestia. Percibo mucha compasión\ny bondad en ti, tanto ahora como en el futuro.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nNo te lo tomes a mal, pero no me encajas\nen el perfil de líder de todo un ejército...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06ミカヤ\nNo eres la primera en decirlo. Me vi en\ntal tesitura por caprichos del destino.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nAsí que te encumbraron las circunstancias...\n¿Cómo era el rey al que intentabas proteger?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nUn buen hombre que anteponía los intereses\ndel pueblo a lo demás. Quizá demasiado bueno.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nTodo tiene sus pros y sus contras. En época de\npaz, sé que habrían reverenciado su sabiduría.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGracias por hablarme de tu pasado, Micaiah.\nLa próxima vez, cuéntame más cosas sobre ti.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nGracias por tu ayuda en la última batalla,\nGregory. En adelante, me apoyaré más en ti.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nMuy amable, pero... no te acostumbres\no acabaré decepcionándote.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nTu decisión de huir no pudo ser más oportuna.\nOjalá yo tuviera las ideas tan claras...\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nComo sigas dedicándome tantos halagos,\nacabaré creyendo que he mejorado y todo...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDicen que en tu mundo te viste obligada\na luchar. ¿Por qué simplemente no huiste?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nNo habría podido aunque hubiera querido. Lo\ncurioso es que, al enfrentarme a lo imposible...\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nSentí que cambiaba. Me adapté para sobrevivir.\nOdiaba luchar, pero nada me detuvo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nTienes corazón de guerrera. Pero no seré yo\nquien te critique si alguna vez decides escapar.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nHe oído que lees el futuro. Con ese poder,\n¡seguro que nunca sientes miedo en combate!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nLamento decepcionarte, pero no veo\nel porvenir con tanta claridad como crees.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nMadeline, me tienes preocupada. ¿Qué tal está\ntu herida? Deja que le eche un vistazo, anda.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nNo te preocupes... ¡Vaya, qué calentitas tienes\nlas manos! Ni me has tocado y ya lo he sentido.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nマデリーン\nÚltimamente no noto progreso al entrenar...\n¿Qué debo hacer para volverme más fuerte?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nNo existe una receta mágica. Solo queda\nesforzarse al máximo cada día.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ミカヤ\nPero he visto cómo luchas para proteger a tus\naliados. Para mí, ya eres una soberbia caballero.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nN-no suelo lidiar bien con cumplidos así, pero\ngracias. ¡Seguiré dando lo mejor de mí misma!\x0E\x04\x00\x00
