MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMmm... ¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nEh, tú.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Un último esfuerzo!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\n¡Estoy hablando contigo!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Eh? Oh, hola, Rafal. Pareces de mal humor.\n¿Te puedo ayudar en algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nDeja de soltar esos molestos soplidos.\nAlteran mi paz mental.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nClaro, trataré de ejercitarme en silencio.\nLo siento.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nEso no me basta. Te exijo que te estés quieto.\nVer cómo te ejercitas me produce malestar.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe pides lo imposible, pero seguro\nque podemos alcanzar un acuerdo. A ver...\x0E\x04\x02\x00
MID_RELIANCE_C_#010	¡Ah, ya sé! ¿Qué tal si te unes a mí?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\n¿Disculpa?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi entrenamos juntos, el ruido ya no será\nun problema.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Vamos; ¡será divertido!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nCarezco de tiempo y paciencia\npara participar en semejante ridiculez.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nTodos dicen algo así de entrada.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Pero dame una oportunidad. Conmigo como\nentrenador personal, acabarás hecho un toro.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nCada instante contigo es una pérdida de tiempo.\nSi insistes en quedarte, me iré yo... y rápido.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡No seas así, Rafal! Oye, pues el muchacho\nestá en forma... ¡Qué zancadas da!\x0E\x04\x02\x00
