MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n¡Jiaaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nY con ese ya van diez.\n¡Que pase el siguiente!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nImpresionante, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\n¡Príncipe Diamant! No me he dado\ncuenta de que estaba observando.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nSupervisar a los soldados\nforma parte de mi trabajo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nPues por mí no se preocupe; estoy en\nóptimas condiciones y lista para el combate.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nPor lo que he visto, es evidente.\nSeguro que podrías con todo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nHasta con un duelo inesperado.\n¿Tienes tiempo para un combate rápido?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nMi señor... no sería capaz...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nClaro que sí.\nNo me digas que no te gustaría...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nMe queda un largo camino por recorrer\npara ser digna de medirme con usted.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nCuando me sienta preparada,\nserá un privilegio batirnos en un duelo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nEstá bien. ¿Cuándo crees que estarás lista?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nCuando supere el odio que siento.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nザフィーア\nLa guerra con Elusia\nha sido muy sangrienta.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nAún no soy capaz de borrar ese doloroso\nrecuerdo de mi mente.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nザフィーア\nQuiero pasar la página, pero, para ello\nnecesito ser más fuerte de lo que soy ahora.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo. Perdóname, Saphir,\npor hacerte rememorar malos recuerdos.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nザフィーア\nNo se disculpe. Me siento honrada por su\ninvitación; siento tener que rechazarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¡Saphir! ¿Hoy estarías dispuesta\na batirte en duelo conmigo?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nNo he cambiado de parecer, príncipe Diamant.\nAún no estoy preparada.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque no estés lista, me gustaría\nponer a prueba tu destreza.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nSi insiste... Sería grosero por mi parte\nnegarme de nuevo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nPero, si gano, ¿escuchará\nlo que tengo que decirle?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nSi prefieres hablar, podemos luchar\nen otro momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nNo quiero hablar de eso a menos\nque gane el duelo. No sería justo.\x0E\x04\x00\x00
