MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Dónde estamos?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06アイク\nEn el castillo de Gebal, o eso parece.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\n¿Un lugar en el que has estado?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06アイク\nSí. Está cerca de la frontera entre las naciones\nde Crimea y Gallia.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06アイク\nEs interesante que este sea el lugar\ndonde te pondré a prueba.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\n¿A prueba?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06アイク\nLas fuerzas del Reino de Daein nos persiguieron\nhasta aquí. Iniciaron un asedio y nos atraparon.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06アイク\nBloquearon cualquier vía de escape. El poder\nde su ejército era muy superior al nuestro.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06アイク\nMi padre fue asesinado y yo tomé el mando\ncomo líder de los mercenarios de Greil.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06アイク\nAsí es como me enfrenté\na mi primera gran prueba.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nSuena bastante duro...\n¿Qué hiciste?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06アイク\nLuché para proteger a mi hermana\ny al resto de mercenarios.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06アイク\nSi te encontraras en una situación\nparecida, ¿qué habrías hecho tú?\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nSupongo que lo mismo. No querría que\nla gente que me importa sufriera algún daño.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06アイク\nEstoy convencido de que te habrías batido bien.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06アイク\nMuéstrame cómo protegerías a tu gente.\nSin palabras, solo con hechos.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\n¿Quieres que luche contra ti?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06アイク\nSi ganas, nuestro vínculo será aún más fuerte.\x0E\x04\x00\x00
