MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Jade, enfréntate a mí!\n¡Muéstrame tu destreza!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNo, gracias. Paso.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\n¡Qué rápido te has negado! ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nHe oído que has ganado varios torneos\nen Brodia gracias a tu fuerza.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nDeberías hacer alarde de tu poderío.\n¡No te lo guardes para ti sola!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nNo he recibido la orden de luchar contra ti.\nTampoco te tengo rencor. ¿Por qué pelear?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJade, Jade, Jade...\nMe decepcionas.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nHe oído cosas increíbles sobre tu maestría.\n¡Tengo que verlo por mí mismo!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\n¿Cómo podría convencerte para luchar?\n¡Haré lo que me pidas!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\n¿Lo que sea?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nEn ese caso...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\n¿Podrías responder a unas preguntas\npersonales antes de pelear?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nEso está hecho. ¿Puedo saber por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nNecesito terminar de perfilar un personaje\npara mi próximo libro y tú me servirías.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\n¿Solo tengo que hablarte de mí mismo?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nExacto. Supongo que tenemos un trato.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nProcedo de un lugar llamado Arenas Albas,\nal noreste de la frontera de Solm.\x0E\x04\x00\x00
