MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nNo salgo de mi asombro.\nQué novela tan cautivadora...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nHola, joven príncipe. ¿Ya has terminado de leer?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nLady Nel, qué sorpresa.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\n¿Lo es? En realidad, buscaba la oportunidad\nde conversar contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Sobre qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nSin duda no ignoras que soy hija\ndel Dragón Caído Sombron.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Provenimos de linajes diferentes,\npero ambos pertenecemos a la realeza.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Yo jamás comprendí a mi padre. Esperaba\nque quizá tú tendrías a bien hablarme del tuyo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nYo siempre quise seguir sus pasos, aunque,\nen ocasiones, tampoco lograba entenderlo.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Siempre se le consideró un gran monarca\npor su poder militar. Yo no pretendo reinar así.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nNo compartían la misma ideología...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSe podría decir así. Tuvimos nuestros\ndesencuentros al debatir el futuro de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\n¿Cómo es posible que no se te sentenciara\na muerte por desafiar a tu padre, el rey?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\n¡¿A qué viene esa pregunta?! En Brodia\nno se ejecuta a nadie por estar en desacuerdo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nComprendo. Al contrario que tu padre,\nel mío prefería aplastar a toda voz discordante.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Oponerse a su voluntad era impensable.\nSolo existía una vía para sobrevivir: obedecer.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nNo puedo ni imaginar cómo sería vivir bajo\ntal tiranía. Lo lamento mucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nNo te aflijas. Todo eso quedó en el pasado.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	He aprendido mucho oyendo tu historia.\nEspero que volvamos a hablar pronto.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nFaltaba más.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nVolvemos a encontrarnos, joven príncipe.\n¿Tendrías a bien mantener otra conversación?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSería un placer.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nTus palabras sobre Brodia han despertado\nmi curiosidad sobre tu reino.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Así que me tomé la libertad de acercarme\na su capital e informarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Has viajado al castillo de Brodia para eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04エル\nPara un dragón, supone poca distancia.\nDebía moverme con discreción, y así lo hice.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nNo me cabe duda. ¿Y qué has aprendido?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nMe han hablado mucho del príncipe Diamant,\ndestinado a convertirse en un espléndido rey.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Nadie dudaba de que su reinado será incluso\nmás glorioso que el de su progenitor.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nQuizá te resulte extraño, pero me alegró\nescuchar todo aquello.\x0E\x04\x00\x00
