MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nMira qué bonita es esta camisa.\n¡Y esa falda roja es para morirse!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh, no... ¿También tienen complementos aquí?\nPues nada, les diré adiós a todos mis ahorros...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nYa te digo. Me está costando una barbaridad\nno arrasar con toda la tienda.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\n¡Princesa Timerra! ¡¿Qué hace aquí?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nDe compras. ¿Tiene algo de raro?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\n¡Oh! ¡No, no! Pensé que tendría sirvientes\nque harían eso por usted.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nMe gusta ir de compras de incógnito. Así puedo\nprobarme ropa y ver cuál me queda bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\n¡Qué encantador! Es casi como si fuese\nuna persona normal.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nEste... ¡Gracias!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nFramme, he de decir que me gusta tu estilo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nEsos colores quedan elegantes e interesantes.\nY las cintas te dan un toque genial.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\n¡Por no hablar de la falda! Es muy tú.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\n¡¿Lo dice de veras?! ¡Qué gran honor!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nLa verdad es que le tuve que dar varias vueltas\na este conjunto para que todo combinase.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nLo sé. A veces no es nada fácil encontrar\nel equilibrio entre lo práctico y lo lindo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\n¡Eso es! Quiero algo que sea a la vez práctico\ny que quede divino. Tampoco pido tanto...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nNo sabes cuánto te entiendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\n¡No puedo creer que esté hablando de moda\ncon la princesa Timerra! ¡Parece un sueño!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nミスティラ\nOye, tengo una idea. ¿Por qué no me eliges\nun atuendo un día de estos?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06フラン\n¡¿En serio?! ¡¿De verdad?! ¡¿Sí?!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nミスティラ\nSí, y yo elegiré algo para ti.\n¡Nos vamos a ver fabulosas!\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06フラン\n¡Suena fantástico!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nミスティラ\n¡Pues decidido!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\n¡No veo la hora de elegir\nun atuendo perfecto para usted!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nミスティラ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n♪¡Ropa linda para ti y para mí!\nCuando vi ese conjunto me morí...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\n¡Qué canción tan graciosa, princesa Timerra!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\n¡Es que estoy muy contenta! ¡Es genial\ndejar que elijan la ropa por ti para variar!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\n¿Lo tienes ya todo listo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\n¡Sí! Ya he terminado.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Yo también! Adelante...\n¡Enséñame lo que has elegido!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nPrepárese... He escogido para usted...\n¡este maravilloso vestido con volantes!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\n¡Aaah! ¡Me encanta!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\n¡Ya lo sabía! Venga... Toque este tejido.\nEs bonito pero recio.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nAh, ¿sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\n¡Sí! Su ropa siempre es tan liviana\nque pensé que querría algo más abrigado.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nEste... Qué amable por tu parte...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\n¿Ocurre algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\n¿Eh? ¡Oh, lo siento! Me encanta, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\n¿Estás lista para ver lo que te he elegido?\n¡Tarááán! ¡Mira qué toga de color escarlata!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\n¡Qué adorable!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n¿Verdad? Y le he puesto complementos\npara que resalte aún más el color.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\n¡Es perfecto! Justo lo que me gusta.\nParece cómodo y, además, transpirable.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\n¿Verdad que sí? Pensé que te quedaría bien\nalgo bonito y ligero.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nUn momento... ¡Caray!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nAcabo de recordar que tengo que irme.\nMe llama el deber princesil, ya sabes.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nLo siento, Framme. Seguiremos en otra ocasión.\n¡Te lo prometo!\x0E\x04\x00\x00
