MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Lapis! Quería darte las gracias\npor tu ayuda en las últimas batallas.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nOh, si no he hecho nada del otro mundo...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nMe he limitado a seguir sus órdenes.\nNo hace falta darme las gracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nHay muchos otros guerreros más capaces\nque se merecen su agradecimiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nPor favor, Lapis. Eres fuerte e inteligente.\nDeberías tener más fe en tu capacidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\n¿Fe? No estoy tan segura...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nTengo el gran honor de servir en la corte,\npero no estoy a la altura. Ni siquiera soy noble.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nNo quisiera pecar de arrogancia\nestando tan por debajo del resto.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nEres muy dura contigo misma, ¿eh?\nSupongo que eso te sirve para motivarte...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nPero deberías dejar de compararte\ncon los demás. Todo el mundo es diferente.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nNo seas tan dura contigo misma, ¿de acuerdo?\nComo te he dicho antes, vales mucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nPero... De acuerdo, Divinidad...\nOh... Me he quedado sin palabras.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nNo suelo recibir halagos como ese.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nHe de marcharme. Disculpe.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x04\x03\x04
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nLapis parece estar realmente convencida\nde que no encaja aquí...\x0E\x04\x00\x00
