MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nEs inútil. Estoy tan agotado\nque no logro retener nada.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\n¿Algún problema, muchacho?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nHola. Solo trato de avanzar un poco\ncon este libro.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\n¿A estas horas? Muestras una voluntad digna\nde elogio. ¿Qué estudias, si se puede saber?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nMedicina.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nMmm. Pues pareces cansado,\nseguro que te cuesta concentrarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nYa, no he dormido mucho últimamente,\npero es que tengo tanto que memorizar...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nBatallas de día, estudios de noche...\nNo podrás aguantar mucho tiempo así, joven.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nAntes de que aprendas a cuidar de otras\npersonas, tu propio cuerpo no dará para más.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nSí, ya sé que tienes razón, pero...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nLo mejor que puedes hacer es cerrar\nesos ejemplares por ahora y darte un respiro.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nPero ¡me queda demasiado por estudiar!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nMira, chico, los libros son excelentes maestros,\npero hay lecciones que nunca podrán impartir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nSi quieres aprenderlas, es hora de que empieces\na buscar en otros sitios.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nQuizá luego descubras que te resulta más fácil\nextraer la sabiduría que encierran esos libros.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ジャン\n¿De veras crees eso?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nPor supuesto. Dame un par de días\ny te prepararé una lección para que lo veas.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nYa estamos aquí, Jean.\nBienvenido a tu nueva aula.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\n¿En medio del campo?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\n¿Qué hacemos aquí? No veo a nadie\nque pueda enseñarme nada por estos lares.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nPues mira con más atención.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nEste... ¿Dónde?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nObserva las hermosas flores que nos rodean.\nEllas serán tus maestras hoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nMe estás tomando el pelo, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nOh, de ningún modo. Hablo muy en serio.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nEstás agotado, muchacho;\ntanto física como mentalmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nNada de lo que leas en un libro ahora mismo\nte enseñará tanto como estas flores.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nHazme caso y siéntate a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nEstá bien... Si insistes...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リンデン\nAhora túmbate despacio y mira al cielo.\nToma aire y respira lentamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nEstá bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\n¿Así?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nCielos, ¿no lo oyes? Las flores te susurran.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nYo no oigo nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nMmm. Procura relajar los hombros\ny acerca más la cabeza para escucharlas.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nPues...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nSigo sin oír nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ジャン\nAunque huelen muy bien.\nY sopla una brisa muy agradable.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08リンデン\nNo me digas. Pues entonces respira hondo\npara llenarte con su fragancia.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ジャン\nMuy bien... Lo que tú digas.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\nZzzzZZZzzz...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リンデン\nHa caído redondo. Ya iba siendo hora...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\nLindon, perdona si el otro día fui descortés.\nMe quedé dormido sin querer en plena lección.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nNo tienes por qué disculparte.\nEra justo lo que me proponía: hacerte dormir.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nAunque sí que había una lección\nque podías haber extraído de las flores.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\n¿Cuál?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nQue las prisas no te quiten el sueño. Sería como\nsi los árboles te impidiesen ver el bosque.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nReconozco que me costó menos estudiar\ndespués de la siesta en la pradera...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\n¡Ajá! Me alegra oírlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nLindon, ¿me harías el honor de aceptarme\ncomo tu pupilo?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\n¿Quién, yo?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nEs que he aprendido mucho de tu lección.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nNecesito algo más que libros... Tu experiencia\ny vastos conocimientos son incomparables.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nSolo un venerable sabio como tú\npuede ofrecerme algo así.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\n¡"Venerable sabio", nada menos!\x0E\x04\x00\x00
