MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHola, Nel. Me gustaría hablar contigo\nun momento, si te parece bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nFaltaba más. De hecho, yo también\nbuscaba la ocasión de conversar contigo.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Y no cedas ante la timidez: puedes hablar\nlibremente conmigo cuando quieras.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nGracias. Quería preguntarte... ¿De veras\neres hija de padre... o sea, de Sombron?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Siento curiosidad, puesto que tú también\neres un Dragón Caído.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nLo soy. Y, en mi mundo, uno de sus vástagos\nse llamaba igualmente Veyle.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Según Mauvier, era muy estricta,\npero igualmente amable.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nAsí que había una versión de mí en tu mundo...\nQué sensación tan extraña me suscita...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04エル\nPor mi parte, le agradezco al destino\nque me dé la oportunidad de hablar contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nHe perdido a casi todos mis hermanos.\nJamás imaginé que encontraría a otra hermana.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\n¿Me consideras como tu hermana?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nPor supuesto. Aunque vengas de otro mundo,\neres hija de padre, igual que yo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\n¿Y ser amigas no te parecería suficiente?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\n¿Es que... no quieres ser mi hermana?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nMi corazón se regocija con tus palabras, pero\nmi mente no está preparada para asimilarlas.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	El Sombron de mi mundo no es tu padre.\nDurante años, mi único hermano ha sido Rafal.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nTienes razón. Ha sido todo tan repentino...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Siento haberme dejado llevar por el entusiasmo.\nDejémoslo por ahora. Ya hablaremos otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHola, Nel. Siento lo de la otra vez. Debí imaginar\nque no podrías verme como a una hermana.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Pero he pensado que podríamos pasar tiempo\njuntas, así que he traído algo para comer.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nCompartir un refrigerio me parece un método\nidóneo para reforzar nuestra amistad.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\n¡Genial! Espero que te guste la comida picante.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nLo cierto es que disfruto de un buen platillo\nrico en sal y especias.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\n¡Perfecto!\nEn tal caso, seguro que esto te va a encantar.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Desde que estoy aquí, diría que todo\nme sabe mejor. Me encanta comer en compañía.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nPese a provenir de otro mundo, a mí también\nme han acogido con los brazos abiertos.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nSon muy hospitalarios.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Y, como hija de un Dragón Caído, quiero aportar\nmi grano de arena para que estés como en casa.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nGracias.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMe dijiste que Rafal ha sido tu único hermano\ndesde hace mucho tiempo. ¿No te sentías sola?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nEn efecto. Con el paso de los años, la pérdida\nde mis hermanos ha ido haciendo mella en mí.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Hubiera deseado haber tenido una relación más\nestrecha, pero solo nos preocupaba sobrevivir.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Eso implicaba envidia, usurpación y traición.\nEn ocasiones, incluso violencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nQué horror.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nPor eso agradezco enormemente la oportunidad\nde pasar tiempo contigo así, en paz.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Mas, por ese mismo motivo, debo mostrar\ncautela ante la idea de aceptarte como hermana.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Para mí, ese tipo de relación es sinónimo\nde rivalidad y miedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\n¿Tienes miedo de mí?\x0E\x04\x00\x00
