MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nEste pescado a la brasa está delicioso.\nTiene una consistencia perfecta.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nLe he añadido una pizca de sal para quitarle\nhumedad y que quede más tierno.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nPuede que esta sea tu mejor creación\nhasta la fecha, Bunet, lo cual dice mucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nAl fin y al cabo, no solo soy su vasallo,\nsino también su chef personal.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nEs mi deber conocer sus gustos\ny preparar platillos de manera acorde.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\n¡Ya te digo! Soy un tipo con suerte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nPero has olvidado un detalle.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\n¡¿Qué?! ¿No he puesto suficiente limón?\n¿No le agrada la presentación?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nNo, olvida el platillo. Los títulos: vasallo\ny chef personal. Has olvidado uno.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nMejor amigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nAh... Cierto, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nHemos compartido tantas comidas\ncasi a diario en el mesón de mis padres.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nMás que la comida, disfrutaba charlando\ndurante horas cuando los otros clientes se iban.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nSiempre recordaré esos días. No como cierta\npersona que había olvidado nuestra amistad...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nNo es así. Mi memoria retiene con exactitud\ntanto los sabores como a los amigos.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nEs tan solo que ahora es para mí\nmás un salvador que un amigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\n¿Un salvador? ¿Yo? ¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nNo lo entiende. Claro.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nNo importa. Acabe la comida antes\nde que se enfríe. Enseguida estará el postre.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nフォガート\n¿Postre? ¡Qué rico!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nフォガート\nEsta es la mejor comida del mundo, seguro.\nVoy a dejar el plato limpio.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nLa mejor comida del mundo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Qué bueno! Has vuelto a lograrlo, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nSabía que le estaba gustando\npor su sonrisa extática.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nAntes de que lo olvide, tenemos que volver\na hablar de lo que dijiste el otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\n¿A qué se refiere?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nSí, lo de que era tu salvador. Le he estado\ndando vueltas, pero no sé qué querías decir.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nOh, eso...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nMe inscribí en el concurso para ser el cocinero\nde palacio y perdí.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nFue la mayor deshonra de mi vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nAun así, tuvo la deferencia de tomarme\ncomo su chef personal.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ボネ\nNunca podré corresponder su gentileza.\x0E\x04\x00\x00
