MID_CARD_KEYHELP_TURN_OVER	Dar la vuelta
MID_CARD_KEYHELP_EDIT	Editar
MID_CARD_KEYHELP_CARD_LIST	Lista de fichas
MID_CARD_KEYHELP_STAMP_LIST	Lista de sellos
MID_CARD_KEYHELP_STAMP_SWITCHING	Editar
MID_CARD_KEYHELP_DELETE	Borrar
MID_CARD_KEYHELP_END	Terminar
MID_ProfileCard	Ficha de perfil
MID_ProfileCard_MyCard	Mi ficha
MID_ProfileCard_MyCard_Description	Cambia el texto de tu ficha\nde perfil y personaliza su aspecto.
MID_ProfileCard_Notes_Terms	En el sitio web de Nintendo están las directrices\nde la comunidad que se aplican al compartir\ncontenido. Trata siempre con respeto\na los demás.
MID_ProfileCard_Album	Otras fichas
MID_ProfileCard_Album_Help	Consulta y borra fichas ajenas.
MID_ProfileCard_Album_Description	Consulta las fichas obtenidas\nen la Torre de los Retos.
MID_ProfileCard_Photo	Tomar foto
MID_ProfileCard_Photo_Description	Toma una foto con tus aliados\nfavoritos para ponerla en tu ficha.
MID_ProfileCard_Photo_Warning	Solo localizaciones exteriores del Somniel.
MID_ProfileCard_Setting	Privacidad
MID_ProfileCard_Setting_Description	Puedes ajustar la privacidad\nde tu ficha de perfil.
MID_ProfileCard_Setting_Warning_Public	Estado actual: pública
MID_ProfileCard_Setting_Warning_Private	Estado actual: privada
MID_ProfileCard_Setting_Confirm	Elige una opción de privacidad para tu ficha.\n(Puedes cambiarla en cualquier momento.\nNota: Los cambios no se aplicarán a las fichas\nque ya se hayan intercambiado.)
MID_ProfileCard_Setting_Public	Hacer pública
MID_ProfileCard_Setting_Private	Hacer privada
MID_ProfileCard_ShowStamp	Ajustar sellos
MID_ProfileCard_ShowStamp_Description	Puedes mostrar u ocultar los sellos\nde las fichas de perfil que hayas\nobtenido.
MID_ProfileCard_ShowStamp_Warning_Show	Ajuste actual: mostrar sellos
MID_ProfileCard_ShowStamp_Warning_Hide	Ajuste actual: ocultar sellos
MID_ProfileCard_ShowStamp_Confirm	Elige el ajuste que prefieras para los sellos\nde las fichas de perfil.\n(Puedes cambiarlo en cualquier momento.)
MID_ProfileCard_ShowStamp_Show	Mostrar
MID_ProfileCard_ShowStamp_Hide	Ocultar
MID_ProfileCard_Settings_Cannot_Change	Este ajuste está bloqueado por el control\nparental y no puede cambiarse.
MID_ProfileCard_Card_PlayerInfo	Información
MID_ProfileCard_Card_TolalPlayTime	Tiempo de juego
MID_ProfileCard_Card_Birthday	Cumpleaños
MID_ProfileCard_Card_Difficulty	Dificultad
MID_ProfileCard_Card_GameMode	Modo
MID_ProfileCard_Card_FaivoriteCharacter	Personaje favorito
MID_ProfileCard_Card_Relay	Retos por relevos
MID_ProfileCard_Card_FavoriteMap	Mapa favorito
MID_ProfileCard_Card_PlayingCount	Veces jugado
MID_ProfileCard_Card_Versus	Retos alóctonos
MID_ProfileCard_Card_ThemeOfEditMap	Tema del mapa
MID_ProfileCard_Card_VersusRate	Rango batallas pers.
MID_ProfileCard_Card_SortieCount	Participaciones
MID_ProfileCard_Card_AchievementCount	Logros completados
MID_ProfileCard_MyCard_Help	Consulta y edita la ficha.
MID_ProfileCard_Edit	Editar ficha
MID_ProfileCard_Edit_Help	Elige qué quieres editar.
MID_ProfileCard_Edit_Title	Título
MID_ProfileCard_Edit_Title_Help	Elige un título.
MID_ProfileCard_Edit_Title_Caption	Disponibles
MID_ProfileCard_Edit_Comment	Frase
MID_ProfileCard_Edit_Comment_Help	Elige tres elementos.
MID_ProfileCard_Edit_Comment_Caption	Crear frase
MID_ProfileCard_Edit_FavoriteCharacter	Personaje favorito
MID_ProfileCard_Edit_FavoriteCharacter_Help	Elige un personaje.
MID_ProfileCard_Edit_FavoriteCharacter_Caption	Disponibles
MID_ProfileCard_Edit_FavoriteRelayMap	Mapa favorito
MID_ProfileCard_Edit_FavoriteRelayMap_Help	Elige un mapa.
MID_ProfileCard_Edit_FavoriteRelayMap_Caption	Disponibles
MID_ProfileCard_Edit_Bg	Fondo
MID_ProfileCard_Edit_Bg_Help	Elige un diseño.
MID_ProfileCard_Edit_Bg_Caption	Disponibles
MID_ProfileCard_Edit_Frame	Bordes
MID_ProfileCard_Edit_Frame_Help	Elige un diseño.
MID_ProfileCard_Edit_Frame_Caption	Disponibles
MID_ProfileCard_Edit_TextDeco	Color del tema
MID_ProfileCard_Edit_TextDeco_Help	Elige un color para el diseño.
MID_ProfileCard_Edit_TextDeco_Caption	Disponibles
MID_ProfileCard_Edit_TextColor	Color del texto
MID_ProfileCard_Edit_TextColor_Help	Elige un color para el texto.
MID_ProfileCard_Edit_TextColor_Caption	Disponibles
MID_ProfileCard_Edit_CharecterStamp	Ícono
MID_ProfileCard_Edit_CharecterStamp_Help	Elige un ícono.
MID_ProfileCard_Edit_CharecterStamp_Caption	Disponibles
MID_ProfileCard_Edit_Stamp	Sellos
MID_ProfileCard_Edit_Stamp_Help	Decora tu ficha.
MID_ProfileCard_Edit_Stamp_Count	N.º de sellos:
MID_ProfileCard_Edit_Stamp_ConfirmToClear	¿Quieres borrar todos los sellos?\nEste cambio no se puede deshacer.
MID_ProfileCard_Edit_Stamp_ConfirmToClear_Yes	Sí
MID_ProfileCard_Edit_Stamp_ConfirmToClose	¿Quieres dejar de poner sellos?
MID_ProfileCard_Edit_Stamp_SaveAndClose	Sí (guardar cambios)
MID_ProfileCard_Edit_Stamp_NoSaveAndClose	Sí (descartar cambios)
MID_ProfileCard_Edit_Stamp_ContinueToEdit	Cancelar
MID_ProfileCard_Album_ConfirmToDelete	¿Borrar la ficha de \x0E\x01\x00\x00?
MID_ProfileCard_Album_Delete	Borrar
MID_ProfileCard_Possession	En tu posesión
MID_ProfileCard_Language_Attention	La frase de tu ficha se ha modificado\ndebido al cambio en el idioma del juego.
MID_ProfileCard_Net_Save_Confirm_Match	¿Quieres guardar la ficha de tu oponente?
MID_ProfileCard_Net_Save_Confirm_Relay	¿Quieres guardar las fichas\nde los participantes en el reto por relevos?
MID_ProfileCard_Net_Save_Done	Se ha guardado con éxito.
MID_ProfileCard_Net_Overlimit_Title	Borrar fichas
MID_ProfileCard_Net_Overlimit_Title_Help	Elige qué fichas se eliminarán.
MID_ProfileCard_Net_Overlimit_Incomplete	Se ha superado el número máximo de fichas.\nPor favor, borra las que no necesites.
MID_ProfileCard_Comment_CharacterFeeling	Personalidad
MID_ProfileCard_Comment_FeaturePosition	Características
MID_ProfileCard_Comment_AdpositionConjection	Conectores, símbolos, etc.
MID_ProfileCard_Comment_Tearms	Terminología del juego
MID_ProfileCard_Comment_ClassStyle	Clases y tipo de unidad
MID_ProfileCard_Comment_PersonName	Nombres de personaje
MID_STAMP_KEYHELP_TITLE	Comandos
MID_STAMP_KEYHELP_PUT_A_STAMP	Sellar
MID_STAMP_KEYHELP_LR_REVERSE	Invertir
MID_STAMP_KEYHELP_ROTATE_SCALE	Tamaño/girar
MID_STAMP_KEYHELP_ROTATE_SCALE_RESET	Restaurar
MID_STAMP_KEYHELP_HIGH_SPEED	Mover rápido
MID_STAMP_KEYHELP_ERASE_ALL	Borrarlo todo
MID_STAMP_KEYHELP_TWEAK	Ajustar
MID_ProfileCard_Stamp_Unit	Unidades
MID_ProfileCard_Stamp_GodUnit	Emblemas
MID_ProfileCard_Stamp_Weapon	Armas
MID_ProfileCard_Stamp_GodWeapon	Armas de fusión
MID_ProfileCard_Stamp_RodAndItem	Bastones y objetos
MID_ProfileCard_Stamp_System	Sistema
MID_ProfileCard_Stamp_Others	Otros
PCTMID_FireEmblem	Fire Emblem
PCTMID_ShadowDragon	Blade of Light
PCTMID_NewShadowDragon	Shadow Dragon
PCTMID_MysteryOfTheEmblem	Mystery of the Emblem
PCTMID_NewMysteryOfTheEmblem	New Mystery of the Emblem
PCTMID_SideStory	Gaiden
PCTMID_GenealogyOfTheHolyWar	Genealogy of the Holy War
PCTMID_Thracia776	Thracia 776
PCTMID_TheBindingBlade	The Binding Blade
PCTMID_TheBlazingBlade	The Blazing Blade
PCTMID_TheSacredStones	The Sacred Stones
PCTMID_PathOfRadiance	Path of Radiance
PCTMID_RadiantDawn	Radiant Dawn
PCTMID_Awakening	Awakening
PCTMID_Fates	Fates
PCTMID_Birthright	Birthright
PCTMID_Conquest	Conquest
PCTMID_Echoes	Echoes
PCTMID_ThreeHouses	Three Houses
PCTMID_Heroes	Heroes
PCTMID_Marth	"¡Por Altea!"
PCTMID_Celica	"Que Mila te proteja."
PCTMID_Siglud	"¡Alza tu espada!"
PCTMID_Leaf	"¡Cueste lo que cueste!"
PCTMID_Roy	"¡No me derrotarán!"
PCTMID_Lin	"Las llanuras me llaman."
PCTMID_Eirik	"Esto es la guerra..."
PCTMID_Ike	"Fuera de mi camino."
PCTMID_Micaiah	"¡Tengo que luchar!"
PCTMID_Lucina	"¡Desafiaré mi destino!"
PCTMID_Kamui	"¡He elegido mi senda!"
PCTMID_Byleth	"¡Empecemos la clase!"
PCTMID_Lueur	"¡Por el Dragón Divino!"
PCTMID_RelianceC_WithAllUnit	Nivel de apoyo C
