MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nTú, que has servido a un Dragón Divino, ahora\nluchas junto a un Dragón Caído. Curioso, ¿no?\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06セリカ\nLos caprichos del destino nunca dejarán de\nsorprenderme... Pero es un honor apoyarte.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nDeberías cuidar más tu dieta. Creo que tu\ningesta de ácidos es superior a la recomendable.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nMira, si alguien me va a regañar por la comida...\nque sea un venerable Emblema como tú.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nCelica, he notado que, a pesar de ser un dragón,\nme tratas igual que a nuestras hormiguitas...\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06セリカ\nSí, procuro juzgar a los demás por cómo son,\nmás que por su estatus. ¿Te parece mal?\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nAl contrario. De hecho, hace que me sienta\naún más cómoda en tu compañía.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06セリカ\nMe alegra saberlo. Espero que, poco a poco,\nvayamos conociéndonos cada vez mejor.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\nTu habilidad para teletransportarte es increíble.\n¿Podrías trasladarte a otro país si te esforzaras?\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06セリカ\nCreo que sí, si me lo propusiera.\nSi tanta curiosidad sientes, puedo intentarlo...\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nSé que, en el fondo, tu corazón es bondadoso...\n¿Por qué te empeñas en ocultarlo?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nNo sé de qué hablas... Soy un sol, y todo\nel mundo lo sabe. ¿O no estás de acuerdo?\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nラファール\n¿Por qué tratas de razonar con el enemigo?\n¿Acaso no ves que es inútil?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06セリカ\nEso no lo sabrás si nunca lo intentas. Vale\nla pena, con tal de no derramar más sangre.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nQuizá, pero recuerda que, cuando la negociación\nfracasa, es a mí a quien atacan...\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06セリカ\nCierto; procuraré ser más cuidadosa.\nTu talento es imprescindible para nuestro grupo.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCelica, admiro enormemente tu poder.\nEn particular, tu dominio del fuego me asombra.\x0E\x04\x00\x00
