MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nSe acabó... Rayos, ¿qué voy a hacer ahora?\n¿A qué dedicaré mi *vida*?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\n¿Te ocurre algo, Zelkov? Si necesitas hablar\ncon alguien, estoy a tu disposición.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nMuy amable, pero dudo sinceramente\nque fueras capaz de *entenderme*.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nPrueba.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nResulta que una de mis *ocupaciones*...\nha concluido.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\n¿Tan desolado estás por una simple afición?\nPensé que se trataba de algo más serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nLa palabra "afición" no basta para describir\nalgo que me resulta tan *fundamental*.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nYa entiendo... Discúlpame. Prosigue, por favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nHabía estado *alimentando* a una cría de ave.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nSus padres la habían *abandonado*\ncuando aún no había aprendido a volar.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nDecidí *enseñarle* yo mismo, y de ese modo\nempezó a verme como un padre adoptivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nQué bonito...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nPero se acabó. Se ha *ido*.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\n¿Ha escapado?\x0E\x04\x00\x00
