MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nGracias por invitarme a entrenar contigo hoy,\nDiamant. Significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nBueno, para eso somos hermanos.\nEs normal que midamos fuerzas.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nNo estoy a tu altura... No soy tan fuerte\ncomo tú, pero pienso aprender cuanto pueda.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTodos tenemos puntos fuertes y débiles.\nEl exceso de autocrítica pertenece a los últimos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nNo es autocrítica, sino la verdad.\n¿Cómo voy a vencer al príncipe de Brodia?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nTú también eres príncipe de Brodia, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nSí, soy príncipe de Brodia, pero no el ilustrísimo.\nYo no soy tú, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nBonita manera de ver las cosas...\n¿Dices eso cada vez que no estoy?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nEsa falta de confianza no tiene cabida\nen el campo de batalla.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAllí te esperan enemigos temibles.\nNunca dejes que perciban tu debilidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nSí, Diamant... Entendido.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDebes mostrar la actitud adecuada al entrar\nen combate. Centrémonos en tus fortalezas.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nEres un buen arquero, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nEso dicen, pero en realidad no soy tan bueno...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nPara. Vuelves a pecar de falta de confianza.\n¿Qué te he dicho sobre mostrar debilidad?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\n¿Tú no tienes puntos débiles, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nBuena pregunta... ¿Tú qué crees?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nNo se me ocurre ninguno. No tienes defectos.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nNi me los encontrarás si no nos ponemos\na entrenar. ¡Trabajemos por el futuro de Brodia!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nSí, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nスタルーク\nPor el futuro de Brodia.\nLo haré lo mejor que pueda.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nNo es suficiente...\nAsí no podré proteger nuestro reino...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡¿Diamant?! ¿Va todo bien?\nEstás empapado en sudor. ¿Qué ha pasado?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... No deberías verme así.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEstoy bien. No te preocupes. He estado\nentrenando con algunos de nuestros magos...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nNunca te había visto así de agotado\ntras un entrenamiento...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nA lo mejor estás enfermo.\nDeberíamos llevarte al médico para que...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nNo me pasa nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... ¿Recuerdas cuando me preguntaste\nsi no tenía puntos débiles?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAhora ya lo sabes. Esta es mi debilidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\n¿Entrenar con magos? No lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDe niño, una vez tuve un accidente con magia\npor un descuido y acabé herido de gravedad.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nDesde entonces... la magia me causa pavor.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\n¿Pavor? ¿A ti?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nEso es. Cada día me entreno para vencer\nmi miedo y superar esta debilidad.\x0E\x04\x00\x00
