MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nAh, ahí estás, Rafal. Te estaba buscando.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nTú... ¿Qué quieres de mí?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nNada, simplemente quería expresar mi gratitud.\nHasta ahora no había tenido ocasión de hacerlo.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Así que... gracias por venir al Somniel\ny por unirte a nuestras filas.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nラファール\nTe prometí que nos volveríamos a ver\nsi mi hermana despertaba y me perdonaba.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Faltar a mi palabra supondría un insulto\na tal milagro.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Así que aquí estoy. El precio de mi lealtad\nya está saldado. Puedes ahorrarte las gracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nPero tu inquebrantable apoyo me es vital.\nDeja que al menos te lo reconozca debidamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nEres muy \x0E\x0A\x00\x14\x08raro\x08rara, ¿lo sabes?\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Es absurdo que confíes en mí después\nde lo que hice. Y más aún que seas tan amable.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\n¿Qué tendría de malo que deseara tu felicidad\ndespués de lo que has sufrido?\x0E\x04\x02\x00
MID_RELIANCE_C_#012	No podía dejar que las cosas entre Nel y tú\nacabaran así. Me habría roto el corazón.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Sé que tienes buen corazón, y te aprecio\npor ello.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\n¿Me aprecias?\x0E\x04\x02\x00
MID_RELIANCE_C_#015	¿La gente se expresa así?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\n¿Por qué no? No tiene nada de malo.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\n¡Basta! ¿Acaso no tienes asuntos que atender?\n¡Déjame en paz!\x0E\x04\x02\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\n¡Eh, espera un momento!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nHoy hace un tiempo espléndido, ¿verdad, Rafal?\nIdeal para dar un buen paseo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nTú... ¿Acaso no captaste el mensaje?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	¿No te dije bien claro que me dejaras en paz?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nSí, me lo dijiste. Pero quiero hablar\nde tantas cosas contigo que decidí ignorarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\nAl menos podrías disimular tu alegría.\nEse tono tuyo me resulta desagradable.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	En fin, acabemos con esto cuanto antes.\n¿De qué querías hablar?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nPues te iba a preguntar sobre lo que te gusta\ny lo que no, pero, si solo puedo elegir un tema...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Me gustaría saber a qué dedicaste tu tiempo\nmientras aguardabas a que Nel despertara.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nラファール\nMuy sencillo: a esperar. Yo solo.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Si quieres conocer los detalles, agarré su mano\ny recé una y otra vez para que abriera los ojos.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Pedí una segunda oportunidad\nde ser un hermano de verdad para ella.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Quería que fuera feliz y, sobre todo,\nque conociera mi verdadero nombre.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nComprendo...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nAparte de eso, mi plan era muy simple:\nsi no despierta hoy, quizá lo haga mañana.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Sin darme cuenta, habían pasado mil años.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nMi madre debió de pasar por algo similar.\x0E\x04\x00\x00
