MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Cómo va todo, Gregory?\n¿Te estás habituando a este mundo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nEso creo. Guarda tantas similitudes\ny diferencias con el nuestro...\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Ya me he acostumbrado a vivir aquí.\nSolo deseo poner fin a esta guerra rápidamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nEste mundo tampoco anda falto de enemigos\na los que enfrentarse, ¿verdad?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Ahora el cometido de los Cuatro Vientos\nes brindarle todo su apoyo al Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nグレゴリー\nOjalá Mauvier nos hubiera acompañado.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nSiento lo mismo que tú.\nEs gracias a él que aún seguimos vivos.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nグレゴリー\nEs más, si ahora estamos juntos\nes porque él fundó los Cuatro Vientos.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Pero él fue el primero en dejarnos.\nSi lo hubiera obligado a dejarme ir en su lugar...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nNo te tortures así. Mauvier quería lo mejor\npara nosotros.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Habría deseado que continuáramos su legado.\nPor eso te nombró segundo al mando.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nSigo sin entender por qué me eligió a mí...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nProbablemente porque eres tan viejo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\n¡Ay! ¿Se supone que eso fue un desquite?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nJa, ja. Solo estoy bromeando.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Está claro por qué te nombró mi brazo derecho:\nluchas con fiereza por proteger a tus amigos.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nグレゴリー\nMe limitaba a huir. A veces me pregunto\nsi aún sigo haciéndolo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Pero de qué hablas? No seas absurdo.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\n¿Qué he dicho para que te enojes de repente?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nMauvier pudo haber sido el catalizador,\npero todos elegimos proseguir su legado juntos.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	No huyes de nada: eres mi segundo al mando\npor un motivo, así que ten fe en ti mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nグレゴリー\nDe acuerdo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Te puedo contar una vieja historia?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nEso depende: ¿es muy muy vieja?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nDe antes de que te unieras a nosotros;\nde cuando nuestro Dragón Divino aún vivía.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nVaya, eso sí que es historia antigua.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nPartí en misión de reconocimiento al puerto\nde Givre cuando avisté unas aberraciones.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Estaba sola, pero no podía ignorar la amenaza,\nasí que ataqué. Fue una verdadera imprudencia.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Me rodearon y supe que no lograría escapar.\nAsumí que me había llegado la hora.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Pero, de repente, alguien surgió de la nada\ny comenzó a luchar para protegerme.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nNo sería...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nRecuerdo que dijo: "Ahora es cuando toca huir.\n¿De qué serviría que resultaras herida aquí?".\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nEso dije, ¿verdad? Ha pasado tanto tiempo\nque lo había borrado de mi mente.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nPor retraído que fueras, arriesgaste la vida\npara salvarme. Aún hoy sigo sin saber por qué. \x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nCuando te vi en peligro, únicamente podía\npensar en que tenía que salvarte.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	De niño, siempre estuve rodeado de gente que\nme lastimaba. Nadie acudió jamás en mi auxilio.\x0E\x04\x02\x00
