MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nHa llegado el momento, presidente Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nEstoy listo, presidenta Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nBien... ¡Queda inaugurada esta reunión\ndel Club de Fans del Dragón Divino!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\n¡Yujuuu!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\n¡Síiii!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nEl único punto del orden del día\nes la ampliación de la masa social del club.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nPresidente Clanne, te cedo la palabra.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nCreo que deberíamos hacer algo llamativo\npara atraer la atención del público.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\n¡Secundo la propuesta!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nLa cuestión es... ¿qué podemos hacer?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nSe me ocurre una idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\n¿Qué tal si difundimos nuestro mensaje\nmediante un folleto?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nTe escucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nTodo el mundo sabe quién es el Dragón Divino,\npero solo unos pocos conocen a la persona.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nNosotros podríamos contarle al mundo\ncómo es realmente la Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nSí... ¡Sí! ¡Es una gran idea!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nA ver qué te parece esto: ponemos la cara\nde la Divinidad en la portada y lo titulamos...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06フラン\n"El Dragón Divino: su vida íntima".\n¡Bam!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\n¡Y podríamos incluir entrevistas que aporten\ndetalles jugosos sobre su vida!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nSu comida y sus armas favoritas, el cuidado\ndel cabello, la talla del zapato... ¡Todo!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nNo te convence.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06クラン\n¡Me encanta! Es mucho más informal\nque la idea que yo tenía en mente.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06クラン\n¡Es justo el tipo de idea brillante que cabría\nesperar de la señora presidenta!\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\n¡Jamás se me habría ocurrido de no ser\npor tu sugerencia, señor presidente!\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06フラン\n¡Bien! ¡Pongámonos manos a la obra\npara repartir el folleto por toda la ciudad!\x0E\x04\x00\x00
MID_RELIANCE_C_#027	\x0E\x03\x02\x08\x06クラン\nUn momento... ¿Por toda la ciudad?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\nPues sí que ha venido gente...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nClaro. Ese era nuestro objetivo.\x0E\x04\x00\x00
