MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDragón Divino... me gustaría discutir cierto\ntema con usted, si no es demasiada molestia.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\n¿Eh? Por supuesto que no.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nPero relájate primero, que no muerdo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\n¡Ah, sí, claro! Perdóneme.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nEs que llevo un tiempo armándome de valor\npara hablar con usted sobre este asunto.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nVerá, me encantan los animales extraños...\nSobre todo, los dragones.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\n¿Me ves como... un "animal extraño"?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nBueno, quizá sea quedarse corto y todo...\n¡Usted es el único Dragón Divino del mundo!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nLo que quería pedirle es que me ayude\na comprender su especie un poco mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nMmm... Caray.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nNada, nada. Continúa; te escucho.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nDe acuerdo, iré al grano. ¿Podría contarme\ncómo es un día normal para usted?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nA ver... Me despiertan por la mañana, desayuno,\nentreno hasta el mediodía...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nCreo que vivo como cualquier persona normal.\n¿Te sirve de algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\n¡Sí, mucho! "Realiza actividades básicas\nsemejantes a las de un humano corriente..."\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEspera... ¿Lo estás apuntando todo?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nFaltaba más... Es un material excelente\npara el libro que estoy escribiendo sobre usted.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\n¿¡Un libro!? ¿No te parece un poco excesivo?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\n¿Por qué? Las generaciones futuras tienen\nderecho a saberlo todo sobre el Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nP-pues... supongo que tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nMerrin, me cuesta mucho practicar\nsi me miras tan fijamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nAh, no me preste atención.\nComo si no estuviera aquí, vamos.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nMe limito a observar su comportamiento\npara documentar mi próximo libro.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\n¿Y cuánto tiempo piensas seguir haciéndolo,\nsi se puede saber?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nTanto como sea necesario.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nNo se preocupe. ¡De aquí no me muevo\nsin haber capturado hasta el último detalle!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\n¡Arg, basta ya, por favor!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\n¿Qué pasa? Si yo solo...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n¡Ni "solo" ni nada! No soy uno de tus animalitos,\n¿queda claro?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nSí, sé que los dragones vivimos más\nque los humanos y tenemos poderes únicos...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nPero también sentimientos... Y no me gusta\nnada que me observen como a un animal.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\n¡Lo siento mucho, Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nEs que, para mí... es más que un ser humano.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\n\x0E\x0A\x00\x0C\x04Lo\x04La veo como a \x0E\x0A\x00$\x0Eun dios\x12una diosa, y quiero compartir\nesas sensaciones con mis futuros lectores.\x0E\x04\x00\x00
