MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHola, Jean. Eres un aspirante a *médico*, ¿no?\n¿Te importaría venir aquí un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\n¿Eh? Sí, me preparo para ser médico.\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nTe noto inquieto. ¿Acaso te he *sobresaltado*?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSi es así, me disculpo. Lo último que pretendo\nes *inspirar* miedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Debería volver a empezar y saludarte otra vez?\n¿*Ayudaría* que me sentase?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nNo, si da igual...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nMuy bien. En tal caso, *acércate*, por favor.\nMe interesa conocer tu opinión.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\n¿Mi opinión sobre qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nSobre estos *medicamentos* que he preparado.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMira, a esto lo he llamado *elixir cerúleo*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\n¿Elixir cerúleo? ¿Y qué hace?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMitiga el martilleo que suele aquejar a la cabeza\ne infunde la *tranquilidad* del cielo azul.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nVamos... que es un remedio para la jaqueca.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nCorrecto. Y aquí tienes la *tintura carmesí*.\nSe aplica para aliviar el furor de la piel dañada.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ジャン\nO sea, que es una especie de pomada.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\n"Elixir cerúleo", "tintura carmesí"...\nSon nombres un poco pretenciosos, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Cómo dices? No te he *oído*.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ジャン\nNada, pensaba en voz alta.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ジャン\nOye, el caso es que están muy bien.\nVeo que sabes bastante de medicina.\x0E\x04\x00\x00
