MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, no. Qué he hecho...\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Al menos los libros no han sufrido daños.\nSerá mejor que los recoja antes de que alguien...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\n¿Qué hace, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\n¡Oh! Hola, Gregory.\nPues estaba ayudando a limpiar, cuando...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nSe le cayó todo, ¿verdad? Normal; ¡ni siquiera el\nDragón Divino podría llevar todo eso de golpe!\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Vamos, permita que le eche una mano,\nque así terminamos antes.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMuchísimas gracias.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Si trabajamos juntos, creo que solo tendremos\nque hacer unos pocos viajes más.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\n¿Y a qué se debe esta limpieza general?\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Mejor reformulo la pregunta:\n¿por qué es usted quien se encarga de hacerla?\x0E\x04\x02\x00
MID_RELIANCE_C_#011	¿No es algo que podría delegarle fácilmente\na uno de sus aliados?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nJamás se me ocurriría pedirle a alguien\nque hiciera mi trabajo por mí.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Quiero ayudar como sea. Incluso cuando eso\nsignifique ayudar a recoger.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nBueno, los libros ya están en su sitio.\nEspero que no vuelvan a volcarse.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nグレゴリー\nQué alma más cándida...\nEspero que nadie se aproveche de...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nOh, ¿decías algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nグレゴリー\n¿Eh? No, nada de nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nUgh, salimos a mediodía y ya es completamente\nde noche...\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Hemos tenido un día cargadito, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nJamás hubiera imaginado que ir a comprar\nacabaría siendo todo un suplicio.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nPrimero vimos a ese niño perdido, que resulta\nque estaba buscando a su gato...\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Y al final acabamos perdiéndonos nosotros\nen el bosque buscando al dichoso minino.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nLo siento. No tenía ni idea de que el bosque\nfuese tan frondoso...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nTampoco ayudó que el gato estuviera escondido\njusto en la otra punta.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Y no es que lo culpe. Correr y esconderse\nes una excelente táctica de supervivencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nAl menos todo tuvo un final feliz y el niño\npudo reunirse con su mascota.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Gracias por acompañarme.\nSé que nos demoramos más de lo esperado.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nNo hay nada que agradecer. Aunque podríamos\nhaber mirado hacia otro lado...\x0E\x04\x02\x00
MID_RELIANCE_B_#012	No es que fuera a abandonar\x0E\x0A\x00\x0C\x04lo\x04la y dejar\x0E\x0A\x00\x0C\x04lo\x04la\n\x0E\x0A\x00\x14\x08solo\x08sola ante el peligro.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n¿Decías algo?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nグレゴリー\n¿Eh? No, nada. Que debería acostarse ya.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Seguro que mañana le espera una reprimenda\npor haber tenido preocupado a todo el mundo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nJa, ja. Entonces quizá deba prepararme\nmentalmente antes de irme a dormir.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Buenas noches, Gregory.\nPrometo que otro día te compensaré por esto.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nQué se le ocurrirá... Pero no le dé demasiadas\nvueltas al tema. Que duerma bien.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	(...)\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Se desvive por ayudar al prójimo, tal y como\nhacía el difunto Dragón Divino de mi mundo...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Je, supongo que sí puedo bajar la guardia\ncuando estoy a su lado.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nLe debo una disculpa, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¿Eh? ¿Porqué? Que yo sepa, no has hecho\nnada malo, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nConsidérelo una confesión. Hasta ahora...\nbueno, no confiaba plenamente en usted.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	No estaba seguro de poder considerar\x0E\x0A\x00\x0C\x04lo\x04la\ncomo mi \x0E\x0A\x00\x1C\x0Caliado\x0Caliada, ¿comprende?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh... ¿Se trata de eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nLe estaba agradecido por haberme invitado\na este mundo, aunque desconocía el motivo.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Me acogió con los brazos abiertos y...\nno podía creer que lo hiciera de tan buena fe.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Temía que me traicionara, así que me mostré\ncauteloso cada vez que estaba con usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEstás hablando en pasado.\n¿Significa eso que ahora sí te fías de mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nSí. He aprendido mucho luchando a su lado,\ny ahora sé que tiene un corazón puro.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Es \x0E\x0A\x00$\x10distinto\x10distinta al Dragón Divino de mi mundo,\npero, a la vez, similar en muchos aspectos...\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Antepone siempre las necesidades de otros,\nsi bien a veces esa bondad le causa problemas.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Lucha por un futuro mejor, es \x0E\x0A\x00 \x0Ehonesto\x0Ehonesta...\nEs imposible que alguien así me traicione.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nJamás osaría.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nLo cierto es... que me avergüenza admitir\ntodo esto.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Y, para pasar la página, quiero que me pegue\nuna vez. O dos. O todas las que quiera.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\n¿Eh? Ni se me ocurriría ponerte la mano\nencima. Y menos a ti, que odias el dolor.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Además, es normal tener cierto recelo\ncuando se conoce a alguien.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nPero...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nDe acuerdo. Si tanto insistes, toma esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\n¡¿Eh?! ¿A eso lo considera pegarme?\nHa sido un simple golpecito en la frente...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nPues es lo que hay. Ese ha sido tu castigo.\nY ahora vamos a olvidarlo para siempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja. Creo que a ese tipo de dolor\nsí podría acostumbrarme.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Gracias, Divinidad. En adelante, pongo mi fuerza\na su disposición. O sea, más que antes.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nHola, Gregory. ¿Ocurre algo?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nグレゴリー\nSolo me alegro de que haya vuelto\n\x0E\x0A\x004\x18sano y salvo\x18sana y salva.\x0E\x04\x02\x00
