MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Qué haces aquí, Louis?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nAh, hola, Divinidad. Nada en especial,\na decir verdad.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nSolo estoy observando cómo charlan\naquellas dos personas de allí.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nAjá, y... ¿por qué razón?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nHe ahí la cuestión, ciertamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nPreguntarse el porqué de las cosas siempre\nconlleva ciertas disquisiciones filosóficas.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nSi tuviese que contestar, diría que lo hago...\npor cultivarme, supongo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\n¿Ver a la gente charlar te parece edificante?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nEn efecto. Encuentro un profundo saber\nen sus charlas aparentemente insustanciales.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nAl observarlas, afloran numerosos\ndetalles sutiles.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nLas admiro como quien hace lo propio con las\nobras de un museo. ¿Acaso tiene algo de malo?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nPues... quizá un poco sí.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nNo digo que sea ilegal, pero tampoco\nme parece bien. Es cuestión de educación.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nSi esas personas te dijeran que no les gusta\nque las mires, pararías, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\n¡Por supuesto, Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nSu tranquilidad es más importante\nque mi provecho propio.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nBien, solo quería aclararlo.\nEn ese caso... te dejo a lo tuyo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nComo guste, Divinidad. Espero haber disipado\ntoda preocupación que pudiera albergar.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nHola, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\n¡Ah! Saludos, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¿Estás observando a la gente otra vez?\nSi te molesto, me marcho.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nNo me molesta en absoluto.\nSolo estaba pensando en mi familia.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ルイ\nDejé a mis tres hermanos pequeños\nal marcharme de mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\n¿Eres el primogénito?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nSí, el mayor de cuatro hermanos.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nBuf, me imagino que debió de ser\nmuy difícil para ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nEn cierto modo, supongo que sí.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nNuestra madre falleció a temprana edad,\nasí que tuve que criarlos yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nAun así, los quiero con locura. No sé cómo,\npero conseguimos salir adelante.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nSeguro que cuidar de tu familia te ayudó\na ser tan eficiente en tu trabajo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nPues mire, creo que en eso le doy la razón.\nNo me altero fácilmente, la verdad.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nY, ahora que lo pienso... quizá crecer en un\nambiente así fue lo que propició mi afición.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\n¿Por qué lo dices?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ルイ\nBueno, tener solo varones en la familia\nno me dio una visión muy amplia del mundo.\x0E\x04\x00\x00
