MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBuenos días, príncipe Diamant.\nEres tan madrugador como yo.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEn realidad no, príncipe Alfred.\nLo cierto es que todavía no he ido a dormir.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡¿Te has pasado la noche en vela?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí es.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEstaba enfrascado en una tarea urgente\ny, cuando me di cuenta, estaba amaneciendo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Y de qué tarea se trataba?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nEscribir a los nobles de Brodia\npara que donen dinero a nuestro ejército.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nQuizá usen esa deuda como estrategia política,\npero no me queda otra opción.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nYa... Te comprendo perfectamente...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nParece que todos los príncipes herederos\nse enfrentan a los mismos problemas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nNo lo dudo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nBueno, voy a seguir con mi ronda matutina.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Te importa que me una a ti?\nNo creo que pueda irme a dormir ahora.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nPreferiría dar un agradable paseo y charlar\ncon el príncipe del reino vecino.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nQué amable. Es una lástima que solo nos\nveamos en circunstancias tan adversas, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nAunque quizá un largo paseo sea\nla ocasión perfecta para conocernos mejor.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nDeja que te pregunte algo yo primero.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Cuál es tu músculo favorito?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Cómo? ¿Así es como rompes el hielo?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, ups.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nEstaba intentando dar una imagen seria,\npero he lanzado una pregunta improcedente.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNo pasa nada. De hecho, yo también\npreferiría dejar de lado las formalidades.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿En serio? Pues genial, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHola, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Príncipe Alfred! ¿Vas a entrenar?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Sí! Te iba a preguntar si querías unirte.\n¿Es este un mal momento?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nEn absoluto. Justo me estaba preparando\npara ejercitarme un poco.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nGenial, pues vamos allá.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x04\x03\x04
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Iiiah!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Agh! ¡Jiaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Eso es todo?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAcabo de empezar. A ver si puedes con esto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x04\x03\x04
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nUf, ya está bien por hoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nLo mismo digo. Ha sido una buena sesión.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nEs curioso...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nNunca imaginé que cruzaría mi espada\ncon otro príncipe fuera del campo de batalla.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Y con una sonrisa! Ha estado muy bien.\x0E\x04\x00\x00
