MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Felicidades, grandulón! No se celebran\naniversarios todos los días.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nCómprame algo para celebrarlo.\nTe haré un descuento especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\n¿De qué aniversario hablas, si se puede saber?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nNo te hagas el despistado. Sabes\nperfectamente a qué me refiero.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nPues no. No tengo ni la menor idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\n¿¡Cómo que no!?\n¡Se trata de tu aniversario!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nEso no me dice nada.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\n¡Piensa! Seguro que lo tienes en la punta\nde la lengua. ¡Vamos, tú puedes!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nNo sé de qué me hablas.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\n¿No? Pues nada, no te haré ningún descuento\nde aniversario para esta fruta.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nSupongamos que hoy es una fecha importante\nen mi vida. ¿Cómo ibas a saberlo tú?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nBah, eso es lo de menos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nPor estadística, hoy debe ser un día especial\npara alguien y seguro que lo engañas.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nAsí que descubriste mis intenciones, ¿eh?\nEn fin.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nDigamos que hoy es el aniversario de la primera\nvez que hablamos y te vendo la fruta.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\n¿Qué tal a mitad de precio?\n¡¿No te da pena regatear con una pobre chica?!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06モーヴ\nEres una vendedora de dudosa moral, pero\nme has impresionado. Compraré la fruta.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\n¡Síii! Me apunto otra venta.\n¡Gracias por la compra!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nAnna, la fruta que me vendiste\nera muy sabrosa.\x0E\x04\x00\x00
