MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nHola, Boucheron.\n¿Podría hablar contigo un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\n¿En qué puedo servirle, príncipe Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nHe venido a... ¡a rogarte que seas mi tutor!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\n¿¡Cómo!?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nAh, te entiendo... Sería un estudiante horrible.\nQué egoísta por mi parte plantearlo siquiera...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nNo, me malinterpreta. Lo que quería\npreguntarle es... ¿Qué espera que le enseñe?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nPues... ¡Me gustaría que me explicases\ncómo moldear un físico como el tuyo!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAh, ¿desea ganar músculo?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nSé que me falta confianza en mí mismo...\nQuizá mi forma física sea parte del problema.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nIntenté imaginarme a mí mismo con una\nmusculatura bien formada y... En fin...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nLo comprendo. Considera que tonificar\nsu cuerpo lo dotaría de más confianza.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nSerá un placer darle algunos consejos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\n¿De verdad? ¡Genial!\n¡Muchísimas gracias, Boucheron!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\nMe siento honrado de que acojas bajo tu ala\na un caso perdido como yo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nComparado contigo, soy...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nBien, mi primer consejo es que deje de decir\nesas cosas. ¡Téngase en mayor estima!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nNo hace falta que me consueles. Basta con que\nsepas que pongo mi inútil cuerpo en tus manos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nEmpiezo a ver que esto no va a ser\nnada fácil...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\n¡Siete! ¡Ocho! ¡Nueve!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nスタルーク\n¡N-no puedo más!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\n¿Qué sucede, alteza?\nSolo lleva nueve flexiones...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\n¡Aún le quedan noventa y una!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\n¿Piensa que es un objetivo demasiado\nambicioso? ¿Y si lo dejamos en diez?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nスタルーク\n¡No, ni hablar! ¡Eso sería quitarle\nun cero al número inicial!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nMe sentiría fatal por el pobre cero, abandonado\npor culpa de un enclenque como yo...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nBien, dejemos las flexiones para más adelante\ny centrémonos por ahora en los abdominales.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nAh, muy bien... ¿Cuántos quieres que haga?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nCien.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\n¿¡Has dicho cien!?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nNo, ¡no puedo rendirme! ¡Tengo que ponerme\nen forma para ganar confianza en mí mismo!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\n¡Así se habla! ¡Comencemos!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\n¡Uno! ¡Dos! ¡Tres!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\n¡C-cuatro! Ay, ¡ya no aguanto más!\n¡Empiezo a tener calambres!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nPero... Alteza, aún quedan noventa y seis\nmás para alcanzar su meta.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nスタルーク\nQué más quisiera yo que llegar hasta cien...\n¡Es mi cuerpo el que no lo tolera!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nMmm. Qué disyuntiva...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\n¿Y si nos tomamos un pequeño descanso?\nAvíseme cuando se recupere.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nDe acuerdo... Ay, ay, ay...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nブシュロン\n¡Noventa y ocho! ¡Noventa y nueve! ¡Cien!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¡¡¡Lo he conseguido!!!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\n¡Felicidades, príncipe Alcryst!\n¡Ha llegado a cien!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nUf, ¡no doy crédito! ¡Qué contento estoy!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nYo siempre creí en usted. ¿Cómo se siente?\n¿Se nota ya más musculado?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nSí, un poco. Si flexiono este músculo,\nnoto que se tensa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nブシュロン\n¡Fantástico! ¿Y eleva eso su autoestima?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nPues ni un poco, no.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nVaya...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nLo siento mucho, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nHas perdido el tiempo con alguien\nque no tiene remedio...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nPor favor, no hable más así.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nSigo sin ser nadie al lado de Diamant...\nÉl destaca en todo, mientras que yo...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\n¿A qué viene todo esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nDesde que nací siempre ha sido así.\nO al menos es lo que dice la gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nSi se lo repiten desde entonces,\nno me extraña que le falte confianza.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nAlteza, yo tampoco he sido siempre\nun ejemplo de buena autoestima.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\n¿De veras? ¿A pesar de tu cuerpo apolíneo?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nブシュロン\nPuede que mis músculos estén tonificados,\npero por dentro soy un blandengue redomado.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\n¿Sabe cómo me apodaban?\n"Fortallorón" y "Mocoso Musculoso".\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nEs increíble...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nYo también tengo mis debilidades,\npero nunca me he venido abajo por eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nブシュロン\nA veces me pregunto si existirá alguien cuya\nconfianza sea verdaderamente indestructible.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nブシュロン\nSeguro que incluso el príncipe Diamant\nduda en ocasiones de sí mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\n¿Tú crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nCómo te esfuerzas por levantarle el ánimo\na un flojo como yo. Muchas gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nNo hay de qué. Haría lo mismo\npor cualquiera de mis mejores alumnos.\x0E\x04\x00\x00
