MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLouis, llevas muchísimo rato mirándome.\n¿Necesitas algo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nDisculpa si te he ofendido de algún modo,\nilustre caballera de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nEl profundo interés que siento por ti\nhace que actúe de un modo poco apropiado.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\n¿A mirar fijamente lo llamas "interés"?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nSiempre cumples las misiones con soltura\ny nunca cuestionas las órdenes de tu príncipe.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nAdemás, eres tan resolutiva en las batallas\nque algunos te tachan injustamente de cruel.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ジェーデ\nAh, parece que esto va más allá\ndel mero "interés". ¿Intentas ser amable?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSi crees que soy peligrosa, no te lo discutiré.\nYo tampoco confío plenamente en ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\n¿Peligrosa? Para nada. Me temo que he vuelto\na darte una impresión equivocada.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nAunque es innegable que ocultas celosamente\nciertos aspectos de ti misma, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nSecretos privados que muy pocos conocen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nAunque yo los conozco todos.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nNo sé de qué me hablas.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\n¿Acaso no estás escribiendo una novela?\nUna comedia de lo más frívola, además.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, voy a hacer como si no hubieses dicho\nnada de ninguna novela...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nPor favor, soy la discreción personificada.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ジェーデ\nYa lo creo que lo serás.\nComo bien has dicho, puedo ser temible.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nOlvídate de ese "interés" tuyo y disfruta\nde una larga vida ocupándote de tus asuntos.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nDe acuerdo, Jade. Lo consideraré.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nUna idea: un grupo de buenos amigos\nse juntan y tienen una agradable conversación.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\n¿De qué estás hablando?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nTe he visto preocupada y he pensado\nque necesitabas ideas para tu novela.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nDe nada sirve negarlo a estas alturas.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\nTienes razón. Estoy intentando decidir\ncuál será el tema de mi próxima novela.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nPues ahí lo tienes. Escribe sobre un grupo\nde buenos amigos.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\n¿Cómo de buenos? ¿Un grupo de amigos\nque comparten una experiencia común?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nComo tú veas, a mí me basta con leer\nsobre ellos mientras conversan.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\n¿Quieres que toda la novela se base\nen un grupo de amigos charlando?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nSería tu mejor obra, sin duda.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nLouis, la mayoría de mis novelas\ntienen una cosa llamada "argumento"...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04ルイ\nPero ¿acaso el argumento es más importante\nque las escenas memorables?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nUna gran escena no necesita un argumento\nque la respalde.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nQuizá esa estructura narrativa tan simple\npodría funcionar como broma...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nCreo que me has dado una buena idea.\nGracias, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nEs un placer ser de utilidad.\x0E\x04\x00\x00
