MID_WU_C_1_IN_#001	Es de día, Divinidad.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Despierta tan fácilmente.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	L\x0E\x0A\x00\x08\x02o\x02a envidio.\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	Para mí, dormir...\x0E\x04\x00\x00
MID_WU_C_1_SOON_#004	y levantarme es tedioso.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Sé que no soy la persona ideal para despertarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	No soy precisamente alegre.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Pero, cuanto antes se levante,\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	antes terminamos.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Hoy hace buen tiempo.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	Tome un poco de sol.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	No querrá estar tan pálid\x0E\x0A\x00\x08\x02o\x02a como yo, ¿no?\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Desearía poder visitarl\x0E\x0A\x00\x08\x02o\x02a cada mañana.\x0E\x04\x00\x00
MID_WU_C_2_IN_#002	Pero no sería apropiado.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Ha despertado.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Entonces me marcho.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Espero que mañana l\x0E\x0A\x00\x08\x02o\x02a visite alguien más alegre.\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	Adiós.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Jamás imaginé que vendría aquí.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	A despertar al Dragón Divino...\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	No tengo experiencia con este tipo de cosas.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Estoy tremendamente nerviosa.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	No me siento muy cómoda aquí.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Pero la oportunidad de saludarl\x0E\x0A\x00\x08\x02o\x02a a primera\nhora de la mañana...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	No podía dejarla pasar.\x0E\x04\x00\x00
