MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nAsí que esto es Solm. Cuánta arena...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08アイビー\nLa mayor parte del territorio de Solm\nson desiertos. Este es el de Tullah.\x0E\x04\x02\x00
MID_OP1_#003	Seguro que has notado que hace mucho más\ncalor que en Elusia. Creo que me voy a derretir.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\n¿Adónde vamos, Divinidad?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nSerá mejor que nos dirijamos directos al palacio.\nCon suerte, llegaremos antes que los Mastines.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08アイビー\nCuando estaba en Elusia, los Cuatro Mastines\npenetraron en Solm en varias ocasiones.\x0E\x04\x02\x00
MID_OP1_#007	Pero siempre volvían de manos vacías,\nasí que seguramente el palacio seguirá intacto.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nGracias, Ivy. Al final hasta nos será\nútil tener a una antigua enemiga entre nosotros.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08アイビー\nMe lo tomaré como un cumplido.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\n¿Qué anillo Emblema se custodia en Solm?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08アイビー\nEl del Héroe Resplandeciente.\nSe dice que es uno de los más poderosos.\x0E\x04\x02\x00
MID_OP1_#012	Obviamente, conseguirlo supondría\nuna gran ventaja para nosotros.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nSuena justo como lo que necesitamos ahora.\nEn marcha.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nEste... ¿Por dónde se iba al palacio?\x0E\x04\x00\x00
