MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\n¡Lapis! ¡Eh, Lapis! ¡He oído que eres\nel terror de los osos! ¡¿Es eso cierto?!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x04\x03\x04
MID_RELIANCE_C_#003	\x0E\x04\x03\x04
MID_RELIANCE_C_#004	\x0E\x04\x03\x04
MID_RELIANCE_C_#005	\x0E\x04\x03\x04
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nPues... sí. Pero no se lo cuentes a nadie.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\n¿Y eso? ¡Si suena fantástico!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nPues... no sé.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nLapis, tienes que llevarme a cazar osos.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nTengo la sensación de que te lo estás tomando\na la ligera. Los osos son peligrosísimos.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\n¡Para nada! Me lo tomo muy en serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06フラン\nHe oído que cerca de aquí hay un oso\nque tiene aterrorizada a la población.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nMe ofrecí de voluntaria para cazarlo,\npero Vander se opuso de inmediato.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nDijo: "Aún no estás lista, Framme".\n¿Te lo puedes creer? ¡Yo solo quería ayudar!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nSeguro que Vander dijo eso porque se preocupa\npor tu seguridad, Framme.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\n¡No! Lo que pasa es que me toma por\nuna cabeza de chorlito que no vale para nada.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nTengo que demostrar mi valía como sierva.\n¿Me ayudarás a cazarlo, Lapis? ¡Porfaaa!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nAy, Framme...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nDe acuerdo. Si tan importante es para ti,\nte ayudaré a cazar ese oso.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\n¡¿De verdad?!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nPero ¡debes hacerme caso en todo!\nLos osos son muy peligrosos.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\n¡Te lo prometo!\nSé que son peligr-osos, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nBien. Este es el lugar donde el oso\nfue visto por última vez.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nMantente alerta, Framme. El oso podría\naparecer por cualquier lado.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\n¿En serio? De acuerdo...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nLo más importante es mantener la calma.\nNo hagas ruidos ni movimientos bruscos.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nEntendido. Si el oso me ataca, me haré\nla muerta. Ahí está la clave para sobrevivir, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nNo, no hagas eso. Si un oso te amenaza,\nes importante que defiendas tu posición.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nVaya... Veo que sabes mucho de osos.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nTuve que aprender para sobrevivir en el campo.\nNuestra aldea sufría continuos ataques de osos.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nArrancaban los cultivos y echaban\na perder el trabajo de meses...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nEn mi aldea escaseaban los alimentos.\nAquello ponía en riesgo nuestra supervivencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nLapis, no tenía ni idea.\nCon razón eres tan fuerte.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nNo quiero que nadie sepa que vengo del campo.\nQue esto quede entre nosotras, por favor.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nClaro. Tu secreto está a salvo conmigo.\n¡Estoy aprendiendo tanto! Me siento más...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\n¿Framme? ¿Qué pasa?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nEl o... El o...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\n¿El qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\n¡El osooo!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x04\x03\x04
