MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Dragón Divino! ¡Dragón Divino!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nPareces \x0E\x0A\x00\x1C\x0Chumano\x0Chumana, aunque siento curiosidad...\n¿Qué diferencia hay entre dragones y humanos?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nPues... nuestra esperanza de vida es algo mayor,\nsolemos ser más fuertes y ágiles...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nPero tienes razón en cuanto al aspecto:\nno somos tan distintos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\n¡Interesante! ¿Y es verdad que permaneciste\nen letargo mil años en el Somniel?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\n¿Qué fue lo que te despertó?\n¿Es que te hartaste de dormir?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nLo cierto es que no lo sé.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nEntiendo... ¿Y qué estabas haciendo\nantes de quedarte \x0E\x0A\x00 \x0Edormido\x0Edormida?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nLo siento, pero es que no recuerdo casi nada\nde lo que ocurrió antes de despertar.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06カゲツ\nAh. Qué lástima.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nHaces muchas preguntas, Kagetsu.\n¿Por qué te interesa tanto mi vida?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\n¿Qué tiene eso de raro? ¡Somos amigos!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\n¿Amigos? Pero si apenas\nhemos charlado hasta ahora...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nPara mí, somos amigos desde que hablamos\npor primera vez. ¡Por eso quiero conocerte!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\n¿Tú no lo ves así?\n¿No quieres que seamos amigos?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\n¡Claro que sí!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\n¡Bien! ¡Quiero aprenderlo todo sobre ti\npara fortalecer nuestro vínculo!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nVamos, que me vaya preparando para una larga\nbatería de preguntas. Ya capto la idea...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nTu cabello... ¿es un estilo personal\no está de moda entre los dragones?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nAhora que lo dices, no lo sé...\nYo no es que sepa mucho de dragones.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nParece que son misteriosos\nincluso para sí mismos...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nLo lamento. Sé que tienes muchas preguntas,\npero no puedo contestar a la mayoría.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\n¡No te preocupes! Me conformo con pasar\nel rato charlando contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nEn mi patria se venera a los Dragones del Este,\nmás que al Dragón Divino o al Dragón Caído.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nPor eso te encuentro tan fascinante.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\n¡No sabía que tu pueblo adoraba\na los Dragones del Este!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nMe gustaría saber más cosas sobre tu patria.\n¿Cómo es?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nEstá en el Reginato de Solm, aunque aislada...\nApenas tiene contacto con otras regiones.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nNuestra cultura es única y muy interesante,\naunque tendemos a aislarnos del mundo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\n¿Y eso? ¿Es para proteger su cultura\nde influencias externas?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06カゲツ\nQuizá, aunque una cultura demasiado\nprotegida puede convertirse en una cárcel.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nAunque no lo parezca, soy de cuna noble.\nMe educaron para preservar nuestro legado.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nEso implicaba vivir solo por los míos,\nsin salir de casa. Era como una prisión.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nPero ¡ahora luchas por una causa\nen la que crees!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nSeguro que tu familia se enorgullece\nde que estés cambiando el mundo para mejor.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nQuizá sea así...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\n¿Quieres hacerme más preguntas?\nMe encantaría responderlas.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nClaro que sí. ¡Todavía no hemos hablado\nde la cocina de tu tierra!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0A\x08リュール\nMe gustó mucho charlar contigo\nel otro día, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\n¡Lo mismo digo! Creo que nos ayudó a forjar\nun vínculo inquebrantable entre los dos.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nAunque, para ser sincero, no tenía intención\nde hablar tanto de mi patria.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\n¿Y eso por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nEs que... dijiste que mi familia\nse enorgullecería de mí...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\n¿Y?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nQue fue un bonito detalle por tu parte,\npero no es verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nAbandoné mi puesto y mis responsabilidades,\ndejando una simple carta con mis motivos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\n¿Qué padres pueden sentirse orgullosos\nde un hijo así? Es imposible.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nQuizá me hayan olvidado ya por completo...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nOh, Kagetsu...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nEso simplifica bastante las cosas, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n¡Si consigues muchos éxitos, tu familia\nno tendrá más remedio que admirarte!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nSolo tienes que lograr que tu fama\nllegue hasta tu tierra... ¡Y listo!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nNo podrán olvidarte si todos hablan de ti.\nY yo te ayudaré: para algo están los amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nMi \x0E\x0A\x00\x18\namigo\namiga, el Dragón Divino...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nCreía que bastaba hablar una vez con alguien\npara que fuera tu amigo, pero no es tan simple...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAsí es. Los amigos son más que eso: se ayudan\nmutuamente en los peores momentos.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06カゲツ\nAh, en ese caso, ¡nuestro vínculo\nde amistad es increíblemente sólido!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\n¿Eso crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\n¡Sí! Ya éramos amigos desde el principio,\npero ¡nuestro vínculo se ha ido fortaleciendo!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nCierto. Así es.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\n¡Sí! ¡Y gracias a ese potente vínculo, nuestras\nhazañas serán conocidas en todo el mundo!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nPareces absorto en tus pensamientos, Kagetsu.\n¿Qué te ronda la mente?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06カゲツ\nDivinidad... Me temo que nuestro vínculo\nde amistad se ha debilitado.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n¿Es que he hecho algo malo? ¡Lo siento!\n¿Cómo puedo compensarte?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06カゲツ\nNo, es culpa mía.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06カゲツ\nSé que el Anillo del Pacto ese que posees\nes para la persona a la que más aprecias.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06カゲツ\nOjalá pudiera alegrarme por ella.\nPero, mal que me pese, solo siento envidia.\x0E\x04\x00\x00
