MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n¡Louis! ¿Ya estás otra vez espiando?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nDisculpa, Pandreo, pero yo jamás me dedicaría\na una actividad tan soez como espiar a nadie.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nLo que hago es observar a distancia.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nPues te ruego que me perdones.\nEso y espiar no es lo mismo, está claro...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nEn fin, amigo mío... Si te aburres de "no espiar",\nno dudes en ir de fiestita conmigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\n¿De... "fiestita"?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\n¡Eso mismo!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nPodemos relajarnos juntos y pasarla bien\nhaciendo cosas de hombres.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\n"Cosas de hombres"...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nJustamente llevaba un tiempo planteándome\nsi tal fenómeno sería digno de observación.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\n¡Vaya, mira qué casualidad!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nDesde luego.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nAcepto tu invitación de muy buen grado,\nPandreo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nSalgamos a conocer las formas en que dos\nhombres pueden congeniar.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nNo sé cómo te las arreglas, pero todo\nlo que dices suena subido de tono.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nEn cualquier caso, ¡me alegra que aceptaras!\nPero te aviso: me tomo las fiestas muy en serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nVamos a mover el esqueleto hasta el alba,\nasí que, si pensabas dormir, ¡olvídate!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\n¡Prometo estar a la altura, Pandreo!\x0E\x04\x00\x00
