MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Nos ayudarás a traer la paz a este mundo?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06アイク\nPor supuesto; soy un mercenario. Cuando\nacepto un contrato, me aseguro de cumplirlo.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0A\x08リュール\nAún no me siento suficientemente fuerte...\nIke, ¿te importaría darme alguna clase?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06アイク\nNo soy un buen profesor, pero lo intentaré.\nPrepárate, porque no voy a contenerme.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nVas progresando. Tu estilo de combate\nha mejorado mucho.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nTodo se lo debo a las lecciones que tú\ny los demás me han impartido.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06アイク\nNo, el mérito es todo tuyo.\nNosotros solo te hemos dado un empujón.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nSe los agradezco mucho. Han hecho\nque me sienta capaz de traer la paz al mundo.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\n¿Qué puedo hacer? No me gusta\nestar de brazos cruzados.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nCuando haya que luchar, te avisaré.\nDe momento, aprovecha para relajarte.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\n¿Acabas de sonreír?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo sé por qué te sorprende.\nYo también sonrío de vez en cuando.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nPor tu físico, debes de haber sido\nun guerrero formidable en tu tiempo.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHe entrenado con esmero durante el tiempo\nque he estado al servicio de la reina Lumera.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nAún falta mucho para que los jóvenes\nme dejen atrás.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06アイク\nNo soy tan joven... Si tenemos la ocasión,\nme gustaría hacer un duelo de práctica contigo.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nComo siervo del Dragón Divino, ¿te parece bien\nluchar junto a mí en vez de con \x0E\x0A\x00\x10\x04él\x08ella?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nPara nada. Es un gran honor\npoder luchar a tu lado, Ike.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06クラン\n¿Ike, vas a entrenar con la espada? ¿Ahora?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06アイク\nEntreno todos los días desde que era niño.\nSi no lo hago, no puedo relajarme.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06クラン\nIke, ¿te importaría que me uniese\na tu sesión de entrenamiento de hoy?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06アイク\nAdelante. ¿Podrás seguirme el ritmo?\nNo quisiera lastimarte.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\n¡Claro! Quiero ser más fuerte para poder\nayudar a quien lo necesite.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06アイク\nEstá bien. Veamos si puedes\naguantar hasta el final.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06フラン\n¡Ike! Madre mía, ¿me firmas un autógrafo?\x0E\x04\x00\x00
