MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x00\x0C\x06ルフレ\x024\n\x0E\x03\x02\x0A\x08リュール\nEste templo parece prometedor.\nMantengamos los ojos bien abiertos.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\n¡Ah! ¡Aquí está!\n¡Mira, el Brazalete del Venerable Custodio!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nQué interesante. Noto una presencia extraña\nen este. Intentaré hacer una invocación...\x0E\x04\x02\x00
MID_OP1_#004	¡Despierta, Emblema de los Lazos!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06クロム\nPor fin despierto. Siento como si hubiese\ndormido durante un largo tiempo.\x0E\x04\x02\x00
MID_OP2_#002	Supongo que ya no puedo reírme\nde las siestas de nadie...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nEste... Hola...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06クロム\nPerdona, aún estamos algo desorientados.\nEs un placer conocerte. Soy Chrom.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x08\x06ルフレ\nEs el líder de los Custodios.\nYo soy Robin, su estratega.\x0E\x04\x02\x00
MID_OP2_#006	Si nos has despertado tú, te doy las gracias.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nEn efecto. Soy el Dragón Divino \x0E\x06\x03\x00.\n¿Hay dos Emblemas en el mismo brazalete?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06クロム\nSí, pero no tiene nada de raro. A Robin y a mí\nnos unen unos lazos más fuertes que el destino.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\n¿A qué te refieres?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ルフレ\nLe hice un juramento a Chrom cuando perdimos\na su hermana mayor, la Venerable Emmeryn.\x0E\x04\x02\x00
MID_OP2_#011	Ninguno de los dos estaba a su altura, pero\njuntos logramos complementarnos para mejorar.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06クロム\nDesde ese momento, colaboramos para superar\ntodo tipo de dificultades, sin importar el peligro.\x0E\x04\x02\x00
MID_OP2_#013	Mi hermana intentó traer la paz al mundo.\nRobin y yo hicimos realidad su sueño.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nEs una historia maravillosa. Nosotros también\nluchamos para devolver la paz a nuestro mundo.\x0E\x04\x02\x00
MID_OP2_#015	¿Les gustaría aportar su fuerza\npara lograr otro final feliz?\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06クロム\nClaro. Sería todo un honor.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\n¿Honor? Pero ¡si todavía no les he contado\ncuál es la situación!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06クロム\nSupe que podía confiar en ti desde el momento\nen que te miré a los ojos.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x08\x06ルフレ\nChrom obedece a sus instintos. También confió\nen mí a pesar de que olvidé mi pasado.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nEn tal caso, agradezco su confianza.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x08\x06クロム\nSin embargo, antes de unirnos a ustedes,\ntenemos que ver de qué están hechos.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x08\x06ルフレ\nCierto. Para ganar, hace falta temple y fuerza.\nComprobaremos si poseen ambas cualidades.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06クロム\nNo te preocupes, es solo una prueba.\nEsfuérzate y quizá logres convencernos.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nEntendido. ¡Cuando quieran!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nDeja de lado las dudas.\nAtácanos con todas tus fuerzas.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CNormal\n\x0E\x03\x02\x08\x06ルフレ\nVeamos qué tal respondes a nuestra estrategia.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEsa barrera bloquea el camino.\nTendremos que ver el modo de romperla.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDivinidad, parece que esos cristales\nson lo que generan la barrera.\x0E\x04\x00\x00
MID_EV3_#002	\x0E\x03\x00\x0E\x08リュール\x02b\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nVamos a destruirlos y ver qué ocurre.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLa barrera sigue en pie...\x0E\x04\x00\x00
MID_EV4_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nParece que debemos destruir\ntodos los cristales para continuar.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n¿Qué? Los cristales han vuelto a formarse...\x0E\x04\x00\x00
MID_EV5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02b\n\x0E\x05\x01\x1A\x0Cアルフレッド\nAngry\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNo hay tiempo que perder. Golpeémoslos todos\nantes de que todo el mundo termine de actuar.\x0E\x04\x00\x00
MID_EV6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x16\x06クロム\x0CStatus\n\x0E\x03\x02\x08\x06クロム\nHan cambiado de formación. ¿Vamos, Robin?\x0E\x04\x00\x00
MID_EV6_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CStrike\n\x0E\x03\x02\x08\x06ルフレ\nSí. Pasemos a la siguiente fase del plan.\x0E\x04\x00\x00
MID_EV7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\n¡La zona está anegada!\n¿Planean impedirnos avanzar?\x0E\x04\x00\x00
MID_EV8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\n¡Bien! ¡Hemos destruido todos los cristales!\x0E\x04\x00\x00
