MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Jean? ¿Es que no te dan verdura\nen la cafetería?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nNo, no. Estaba recogiendo hierbas medicinales.\n¿Lo ve?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nVaya, veo que ya llevas un buen manojo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nEsta tiene propiedades analgésicas...\ny esta se usa en muchos ungüentos.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nAntes crecía por toda mi isla,\npero últimamente escasea.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nAsí que estoy recogiendo un poco de aquí\npara enviársela a mi padre.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nPara el sanatorio de tu isla, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nAunque recolectar todas esas hierbas es mucho\ntrabajo para una sola persona. Déjame ayudarte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\nNo, no, no, ¡está bien! Debe de tener\nquehaceres más importantes, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNo tantos como para no poder echar una mano.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nAdemás, entre la guerra y tus estudios,\nseguro que no tienes tiempo ni para dormir.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nEstá claro que al Dragón Divino\nno se le puede ocultar nada.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nCierto. No se me escapa ningún detalle.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nSi no le importa, no me vendría nada mal\nla ayuda. ¡Muchas gracias!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08リュール\nVeo que hoy también estás recogiendo hierbas.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nEsta planta es esencial para tratar heridas\ny enfermedades en mi isla.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nA menudo salía con mi padre a buscarla.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nNo tuve ocasión de hablar mucho con tu padre\ncuando estuve en la isla. ¿Cómo es?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nSi hago algo bien en los estudios o ayudándolo,\nme elogia como si fuera un perrito obediente.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ジャン\nPero, si meto la pata, se lo toma muy mal\ny me regaña como a un perro travieso.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nAsí que, hagas lo que hagas, es como si fueras\nun cachorrito, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ジャン\nVisto así...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nEs el tipo de padre con el que unos días\nte llevas bien y otros lo odias.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nAhora que no está conmigo, lo aprecio\nmás que nunca. Igual que a mi madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nCuando los veía cada día no era consciente,\npero siento un gran respeto por mis padres.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nCreo que ahora soy capaz de trabajar tanto\ngracias a la educación que me dieron.\x0E\x04\x00\x00
