MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nDivinidad, ¿qué hace?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh... Hola, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nEstaba ordenando un poco. Mañana será un día\nocupado; quería quitarme eso de encima.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nPermita que me ocupe yo de eso.\n¡Usted debería descansar!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nNo pasa nada. Me las arreglaré.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nNo, no puedo permitirlo. Debo insistir.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nPero...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nPor favor... He esperado mucho tiempo\na que despertase.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\n¡Y no solo yo! Los siervos que me precedieron\npasaron toda su vida esperando.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nY, tras mil años de espera, tengo la oportunidad\nde servirle. ¡Es como un milagro!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nAsí que, por favor, permita que lo haga.\nPara mí será todo un honor \x0E\x0A\x00$\x10ayudarlo\x10ayudarla.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nMuy bien, me has convencido.\nLo dejaré en tus manos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nGracias, su Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nDebería darte yo las gracias a ti\npor ser tan atento.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nMe considero muy \x0E\x0A\x00,\x14afortunado\x14afortunada por tenerte\nde sirviente.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\n¡¿Lo dice en serio?! ¡Me siento desfallecer\nde lo feliz que estoy!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nNi se te ocurra. Ahora que no debo ordenar,\nvoy a aprovechar para descansar un poco.\x0E\x04\x00\x00
