MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04リン\x022\n\x0E\x03\x02\x06\x04リン\nEsto me resulta muy familiar...\nMe recuerda a mi hogar.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\n¿A tu hogar? ¿Te refieres al mundo\ndel que provienes?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x06\x04リン\nSí. Este lugar es idéntico a las llanuras\nde Sacae, donde nací.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x06\x04リン\nRecuerdo bien su belleza.\nDe pequeña, me parecían infinitas.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nEs un paisaje realmente hermoso...\ny el viento es tan agradable.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x06\x04リン\nMe alegra que lo veas así,\naunque no sea mi verdadero hogar.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x06\x04リン\nNos levantábamos al alba, atendíamos\nel ganado, jugábamos y nos íbamos a dormir.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x06\x04リン\nAsí transcurrían los días en las llanuras,\npero no hay nada eterno...\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\n¿Puedes contarme qué ocurrió?\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x06\x04リン\nLa tribu Lorca, mi gente, fue atacada\npor unos bandidos. Mataron a muchos...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x06\x04リン\nEran unos cobardes. Envenenaron el agua\ny aprovecharon el caos para atacar.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nEs horrible...\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x06\x04リン\nSí, pero las llanuras de Sacae son nuestra tierra,\ny siempre nos han bendecido con abundancia.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x06\x04リン\nAunque sean el origen de muchos recuerdos\ndolorosos, siguen siendo mi hogar.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x06\x04リン\nBasta de lamentos.\n¡Ver estas llanuras me da ánimos!\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x06\x04リン\n¡Prepara tu espada! Te mostraré la destreza\nde una guerrera de la tribu Lorca.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nSerá un honor, aunque no me ganarás\ntan fácilmente.\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x0A\x08リュール\nHe superado muchas dificultades en la vida,\ny esta no será la última.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x06\x04リン\nNuestro vínculo se fortalecerá con\neste combate, igual que mi poder.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x06\x04リン\n¡Así que emplea toda tu fuerza!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\n¿Estás list\x0E\x0A\x00\x08\x02o\x02a? ¡Pues ataca de una vez!\n¡No te contengas en absoluto!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nOigo voces de soldados enemigos\nen esas tiendas. Ataquemos cuanto antes.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x03\x02\x06\x04リン\nNo voy a quedarme de brazos cruzados.\n¡Yo también lucharé!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02b\n\x0E\x05\x01\x0E\x04リン\x06Die\n\x0E\x03\x02\x06\x04リン\nLas llanuras, con sus praderas y su viento,\nme convirtieron en la guerrera que soy.\n¿Estás list\x0E\x0A\x00\x08\x02o\x02a para enfrentarte a mí?\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x12\x04リン\nRelax\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nAún debo mejorar, pero me he hecho\nmás fuerte durante nuestro viaje.\x0E\x04\x00\x00
