MID_SYS_EnchantEffect	Efecto del encanto
MID_DLC_News_Patch1_Title	Ver. 1.2.0
MID_DLC_News_Patch1	Pase de expansión\n\n・ Se han añadido los Emblemas Héctor, Soren y Camilla.\n   Cada uno de ellos se unirá al grupo al completar sus\n   respectivos Anexos Divinos.\n\n・ Se ha añadido la bonificación 2 del pase de expansión.\n   Si compras el pase de expansión, recibirás automáticamente\n   diversos materiales, armas y libros de habilidades.\n\n・ Se han añadido nuevos artículos a la tienda de accesorios.\n   Entre ellos, el set espíritu, la máscara espíritu, las orejas\n   espíritu, las orejas de perro, las orejas de conejo y las\n   orejas de zorro.\n\nContenido gratuito\n\n・ Se han añadido lugares de esparcimiento al Somniel.\n   Aprovéchalos para mejorar la afinidad entre tus aliados.
MID_MSG_GET_ITEM_DLC_Accessory2	Bonificación 2 del pase de expansión recibida.
MCID_G002_PREFIX	Anexo Divino
MCID_G002	El general audaz
MCID_G002_PLACE	Gruta del berséker
MCID_G002_OUTLINE	Se ha avistado un brazalete\nen una lúgubre cueva llena\nde miasma.
MCID_G004_PREFIX	Anexo Divino
MCID_G004	El estratega
MCID_G004_PLACE	Cueva de magma
MCID_G004_OUTLINE	Se ha avistado un brazalete\nen una cueva llena de magma.
MCID_G005_PREFIX	Anexo Divino
MCID_G005	Hermana protectora
MCID_G005_PLACE	Pasaje subterráneo
MCID_G005_OUTLINE	Se ha avistado un brazalete\nen unas ruinas subterráneas.
MID_RULE_G002_WIN	Derrota al Emblema Héctor.
MID_RULE_G004_WIN	Derrota al Emblema Soren.
MID_RULE_G005_WIN	Derrota al Emblema Camilla.
MTID_VolcanicBombTraces	Cráter de magma
MTID_Fumarole	Fumarola
MTID_Crater	Magma
MPID_Hector	Héctor
MPID_H_Hector	Emblema de la Fuerza.\nHéroe joven y enérgico que tiene una\ndesbordante confianza en sí mismo.
MPID_Senerio	Soren
MPID_H_Senerio	Emblema de la Perspicacia.\nEstratega reservado y juicioso\nque siempre va vestido de negro.
MPID_Camilla	Camilla
MPID_H_Camilla	Emblema de la Revelación.\nBella princesa de aura cautivadora\nque cabalga a lomos de un wyvern.
MGID_Hector	Héctor
MGID_H_Hector	Emblema de la Fuerza.\nRecio guerrero que blande un hacha\ny arriesga la vida por sus aliados.
MGID_H_EnemyHector	Emblema surgido del Brazalete\ndel General Audaz.
MGID_Senerio	Soren
MGID_H_Senerio	Emblema de la Perspicacia.\nSobresale por su pericia con la magia\ny dominio de grimorios poderosos.
MGID_H_EnemySenerio	Emblema surgido del Brazalete\ndel Estratega.
MGID_Camilla	Camilla
MGID_H_Camilla	Emblema de la Revelación.\nGuerrera que surca el aire y castiga\nal enemigo con hachas y grimorios.
MGID_H_EnemyCamilla	Emblema surgido del Brazalete\nde la Hermana Protectora.
MGEID_Hector	Fuerza
MGEID_Senerio	Perspicacia
MGEID_Camilla	Revelación
MJID_Enchant	Taumaturgo
MJID_H_Enchant	Sanador que usa objetos hábilmente\nen combate. Tiene acceso al convoy\ny destaca por sus labores de apoyo.
MIID_Hector_WolfBeil	Hacha lobo
MIID_H_Hector_WolfBeil	Hacha del Emblema Héctor.\nEficacia: Caballería, acorazados.
MIID_Hector_Runesword	Espada rúnica
MIID_H_Hector_Runesword	Espada mágica del Emblema Héctor.\nTambién permite atacar a distancia.\nRecupera PV = 50 % daño infligido.
MIID_Hector_Armads	Armads
MIID_H_Hector_Armads	Hacha del Emblema Héctor\nimbuida con el poder del rayo.\nOtorga Def + 5. Eficacia: Dragones.
MIID_Senerio_Thunderstorm	Rayos
MIID_H_Senerio_Thunderstorm	Magia de trueno de largo alcance\ndel Emblema Soren.\nNo permite ataques dobles.
MIID_Senerio_MagicShield	Escudo mágico
MIID_H_Senerio_MagicShield	Bastón del Emblema Soren. Permite\na los aliados en un radio de 2 casillas\nendosar al rival el 50 % del daño\nmágico sufrido durante 1 turno.
MIID_Senerio_Rexcalibur	Rexcalibur
MIID_H_Senerio_Rexcalibur	Magia de viento del Emblema Soren.\nEficacia: Voladores.
MIID_Senerio_Disaster	Hecatombe
MIID_H_Senerio_Disaster	Magia del Emblema Soren. Ataca\ncon fuego, trueno y viento al 40 %.\n(Viento: eficacia contra voladores.)
MIID_Camilla_BoltAxe	Hacha rayo
MIID_H_Camilla_BoltAxe	Hacha mágica del Emblema Camilla.\nTambién permite atacar a distancia.
MIID_Camilla_Lightning	Relámpago
MIID_H_Camilla_Lightning	Magia del Emblema Camilla.\nSi la unidad inicia el ataque,\ngolpea 2 veces.
MIID_Camilla_Camilla'sAxe	Hacha Camilla
MIID_H_Camilla_Camilla'sAxe	Hacha del Emblema Camilla.\nOtorga Res + 10 e inflige daño\nadicional = Res - Def del enemigo.
MIID_HE_Vulnerary	La unidad y los aliados situados\nen un radio de 2 casillas recuperan\n15 PV.
MIID_HE_Antidote	Elimina las alteraciones de estado de\nla unidad y los aliados adyacentes.
MIID_HE_Medicine	Restaura 2 al contador de fusión de\nla unidad y los aliados adyacentes.
MIID_HE_HolyWater	Otorga eficacia contra aberraciones\na la unidad y los aliados adyacentes\ndurante 1 turno.
MIID_HE_Torch	Otorga el efecto "Antorcha"\na la unidad y los aliados adyacentes:\nalumbra un radio de 7 casillas\nque se reduce en 1 cada turno.
MIID_HE_HpTonic	Aumenta PV máximos según el nivel\ny otorga a la unidad y los aliados\nadyacentes inmunidad a los ataques\nen cadena durante 1 turno.
MIID_HE_StrTonic	Aumenta la Fue según el nivel y\nreduce al 50 % el peso de las armas\nde la unidad y los aliados adyacentes\ndurante 1 turno.
MIID_HE_TecTonic	Aumenta la Hab según el nivel y\notorga inmunidad contra la ruptura\na la unidad y los aliados adyacentes\ndurante 1 turno.
MIID_HE_SpdTonic	Aumenta la Vel según el nivel\ny otorga inmunidad contra la\ncongelación a la unidad y los\naliados adyacentes durante 1 turno.
MIID_HE_LckTonic	Otorga a la unidad y los aliados\nadyacentes un 30 % de probabilidad\nde ignorar el daño durante 1 turno.
MIID_HE_DefTonic	La unidad y los aliados adyacentes\ndevuelven al enemigo el daño físico\nsufrido durante 1 turno.
MIID_HE_MagTonic	Aumenta la Mag según el nivel\ny otorga inmunidad contra el silencio\na la unidad y los aliados adyacentes\ndurante 1 turno.
MIID_HE_MdefTonic	La unidad y los aliados adyacentes\ndevuelven al enemigo el daño mágico\nsufrido durante 1 turno.
MIID_HE_Bento	Otorga a un aliado adyacente la\ngarantía de sobrevivir con 1 PV\nsi tiene 2 o más PV al inicio del\nenfrentamiento. (Solo una vez.)
MIID_HE_WeaponAvo	Otorga Esq + 20 a armas idénticas\ndurante la batalla.
MIID_HE_WeaponDef	Otorga Def/Res + 5 a armas\nidénticas durante la batalla.
MIID_HE_WeaponCrit	Otorga Crí + 20 a armas idénticas\ndurante la batalla.
MIID_HE_WeaponAtk	Otorga Pot + 5 a armas idénticas\ndurante la batalla.
