MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x02\x0C\nエーティエ\nOtra cena repleta de platillos deliciosos.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nOh, hoy han preparado papas al horno.\nQué suerte que aún queda una.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\n¡Los tubérculos son buenos\npara el entrenamiento!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nエーティエ\nHoy todo ha salido a pedir de boca.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nUn momento... Con permiso.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\n¿Acabas de...? ¡Esa papa al horno era mía!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPues deberías haberla agarrado\nen vez de quedarte mirándola.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nEstas son las típicas cosas\nque hacen los elusianos.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSolo si hay algún firenés involucrado.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nNo te conviene enemistarte conmigo, chica.\nDevuélveme esa papa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nRespetuosamente, me niego.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\n¿Qué tiene de respetuoso negarse?\n¡Eres una ladrona de papas!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo es robar si no era de tu propiedad.\nCualquier juez estaría de acuerdo conmigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nエーティエ\nSe acabó. ¡Devuélveme esa papa!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMmm... No.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\n¡No te la comas!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEstá deliciosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAy, perdona, no te estaba escuchando.\n¿Qué decías?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nエーティエ\nTú ganas esta vez, pero esto no ha terminado.\n¡Me las pagarás!\x0E\x04\x00\x00
