MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nEn este brazalete hay un Emblema,\naunque noto una presencia un tanto... compleja.\x0E\x04\x02\x00
MID_OP1_#002	Pero creo que tengo la invocación.\x0E\x04\x02\x00
MID_OP1_#003	¡Dirígenos, Emblema de los Rivales!\x0E\x04\x00\x00
MID_OP1_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nPor fin libres. Soy el Emblema Edelgard.\x0E\x04\x00\x00
MID_OP1_2_#002	\x0E\x03\x02\x0C\nディミトリ\nEs un placer conocerte.\nSoy el Emblema Dimitri.\x0E\x04\x00\x00
MID_OP1_2_#003	\x0E\x03\x02\x0A\x08クロード\nEntonces yo debo de ser el Emblema Claude.\nHola.\x0E\x04\x00\x00
MID_OP1_2_#004	\x0E\x03\x02\x0A\x08リュール\nSí que estaban apretados en ese brazalete...\x0E\x04\x02\x00
MID_OP1_2_#005	Perdón, no me he presentado.\nSoy el Dragón Divino \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#006	Está claro que no son de Elyos.\nSi se me permite preguntar, ¿qué hacen aquí?\x0E\x04\x00\x00
MID_OP1_2_#007	\x0E\x03\x02\x10\x0Eエーデルガルト\nHasta hace poco, éramos los protectores\nde otro mundo... y ahora hemos terminado aquí.\x0E\x04\x02\x00
MID_OP1_2_#008	\x0E\x03\x02\x0A\x08リュール\nTengo la impresión de que han venido\npara ponerme a prueba.\x0E\x04\x00\x00
MID_OP1_2_#009	\x0E\x03\x02\x10\x0Eエーデルガルト\nNo hay necesidad de eso.\nHas podido invocarnos. Con eso basta.\x0E\x04\x02\x00
MID_OP1_2_#010	Y llegas en el momento justo. Ya nos estábamos\nquedando sin temas de conversación.\x0E\x04\x00\x00
MID_OP1_2_#011	\x0E\x03\x02\x0A\x08クロード\nHabla por ti. Cada batallita de Dimitri\nme parecía mejor que la anterior.\x0E\x04\x00\x00
MID_OP1_2_#012	\x0E\x03\x02\x0C\nディミトリ\nSí, al igual que aumentaban tus interrupciones\ncon comentarios sarcásticos... Qué casualidad.\x0E\x04\x00\x00
MID_OP1_2_#013	\x0E\x03\x02\x0A\x08リュール\nParece que los tres tienen... bastante confianza.\x0E\x04\x00\x00
MID_OP1_2_#014	\x0E\x03\x02\x10\x0Eエーデルガルト\nNo te dejes engañar por las apariencias.\x0E\x04\x00\x00
MID_OP1_2_#015	\x0E\x03\x02\x0C\nディミトリ\n¿Hablas en serio, Edelgard?\x0E\x04\x00\x00
MID_OP1_2_#016	\x0E\x03\x02\x0A\x08クロード\nEstá bromeando. Fíjate bien: tiene exactamente\nla misma expresión que cuando habla en serio.\x0E\x04\x00\x00
MID_OP1_2_#017	\x0E\x03\x02\x10\x0Eエーデルガルト\nSiempre hemos competido entre nosotros.\nNos vendrá bien unir fuerzas, para variar.\x0E\x04\x00\x00
MID_OP1_2_#018	\x0E\x03\x02\x0C\nディミトリ\nTe explico: asistimos a la Academia de Oficiales,\npero éramos delegados de clases diferentes.\x0E\x04\x00\x00
MID_OP1_2_#019	\x0E\x03\x02\x0A\x08リュール\nA eso se referían con lo de competir.\x0E\x04\x00\x00
MID_OP1_2_#020	\x0E\x03\x02\x10\x0Eエーデルガルト\nSí. Solo colaborábamos en ocasiones especiales,\ncomo la batalla de los Leones y las Águilas.\x0E\x04\x00\x00
MID_OP1_2_#021	\x0E\x03\x02\x0C\nディミトリ\nEs un simulacro de batalla que se organiza\npara hacer alarde de nuestras fuerzas.\x0E\x04\x00\x00
