MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nMauvier, siento curiosidad...\n¿Qué cosas te gustan?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\n¿Cómo? ¿Por qué te interesa saberlo?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nEs que quiero hacerte un regalo\ncomo muestra de mi gratitud.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\n¿Un regalo del Dragón Divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\n¿Y por qué motivo?\n¿Acaso no sabes quién soy?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nEl caballero al servicio de Veyle, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nSi no fuera por ti, ella no estaría viva.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nEs mi única hermana, así que nunca podré\nagradecerte lo suficiente que la protejas.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\n¿Comprendes lo que me impulsa\na recompensarte por tu esmero?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nSí, lo entiendo, pero...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nme basta con saber que tengo tu gratitud.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\n¿Solo eso?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nMe complace que valores mis esfuerzos\npor ayudar a lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nPero no soy una "buena persona". Como antiguo\nenemigo tuyo, no soy digno de tus halagos.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nSi me disculpas, tengo asuntos que atender.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nMauvier, no tienes que...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nHe estado pensando en lo que dijiste de que\nno eras buena persona. Y no estoy de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nPor ejemplo, te he visto sacrificarte\npara ayudar a la gente del pueblo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nMi pasado contradice eso de manera irrefutable.\nSolo aspiro a expiar mi culpa.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nAntes soñaba con una vida sencilla. Seguía\nal Dragón Caído porque así me lo enseñaron.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nNunca pensé que me convertiría en enemigo\nde tantas personas. Y, sobre todo, tuyo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nPero todo eso ya quedó atrás...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nTodo lo que diga no sería más que una excusa\npara justificar mi caída en desgracia.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNo fui capaz de detener a lady Veyle,\nni de aplacar la furia de los Cuatro Mastines.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nMientras cargue con tales pecados sobre\nmi conciencia, no merezco olvido ni perdón.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMis actos de piedad hacia los aldeanos\nsolo son un intento egoísta de redimirme.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nNingún halago de nadie, y menos de ti,\nme proporciona placer. Solo sufro más.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\n¿Y cuánto crees que va a durar tu penitencia?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nLo desconozco.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nCreo que no acabará nunca,\nni siquiera cuando haya muerto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nHe pecado demasiado para esperar otra cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Permites que te acompañe hoy\na ayudar a la gente?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\n¿Cómo dices?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nSería inapropiado que el Dragón Divino\ninterviniese en asuntos de tan poca importancia.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nNo estoy de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nEres muy \x0E\x0A\x00 \x0Eextraño\x0Eextraña.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\n¿Por qué me muestras tanta amabilidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nEs que me he dado cuenta de algo al hablar\ntanto contigo: tenemos mucho en común.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nImposible. Tú nunca has cometido villanías.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nMe refiero a que ni tú ni yo somos capaces\nde negarle ayuda a quien la necesita.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nSolo nos diferenciamos en que tú te desviaste\ndel buen camino un tiempo. Pero has cambiado.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\n¿Tratas de justificar mis acciones?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nEl hecho de que no te perdones tus errores\ndemuestra que eres una buena persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEl único defecto que te veo\nes que no crees en tu propia bondad.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nNo tienes por qué ahogarte con el peso\nde los remordimientos, ni buscar penitencia...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nSolo hace falta que confíes en los amigos\ny que nunca los abandones.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nConfía en mí, Mauvier. Solo quiero ayudarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nHe cometido tantos errores que perdí\nla esperanza de redimirme hace mucho tiempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nPero tú logras que esas certezas se tambaleen.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nSi hay alguien que me conozca mejor\nque yo mismo, acaso sea el Dragón Divino...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nPara nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nAcepto tu oferta de ayudarme en el pueblo.\nSi aún quieres hacerlo, claro está.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nAdelante, te sigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\n¡Qué sensación tan rara!\nNoto como un calor en el pecho.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\nSe llama felicidad. Te la mereces.\nY tú te dispones a regalársela a otros.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06モーヴ\nCon el Dragón Divino a mi lado, todo es posible.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nGracias. Sin ti, nunca habría encontrado\nel camino correcto.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nGracias por ayudarme hoy a procurarles\nconsuelo a esa pobre gente desamparada.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nHemos guiado a las almas perdidas, mediado\nen conflictos... Una jornada bastante productiva.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06モーヴ\nEs una labor agotadora, pero vale la pena\npor ver a la gente sonreír.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06モーヴ\nLas buenas acciones que siempre he realizado\nsolo servían para redimir mi dolor, pero ya no.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nLa verdad es que ahora te veo sonreír\nmás que antes.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nMe alegra saber que tus heridas cicatrizan.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06モーヴ\nAhora confío en mí mismo y en los demás.\nEso me ha servido para hallar la paz.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06モーヴ\nGracias a ti he podido descubrir\nesa faceta de mí mismo.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06モーヴ\n¿He dicho algo fuera de lugar?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nEn absoluto. Me había quedado pensando\nen lo mucho que me complace verte feliz.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nHe estado dándole vueltas a un asunto...\nNo, vamos a dejarlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06モーヴ\n¿Te has escondido algo?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nNo, para nada. No escondo nada...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nOh, no...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06モーヴ\n¿Es eso... el Anillo del Pacto? ¿Cómo te\narriesgas a traer aquí algo tan valioso?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nMmm... Es que yo...\x0E\x04\x00\x00
